name,alpha3,totalPopulation,fractionUrban,year,fractionUnderFive
Eswatini,SWZ,1320918,0.26,2030,0.103
Eswatini,SWZ,1505331,0.312,2050,0.081
Eswatini,SWZ,1994768,0.445,2100,0.018
Sint Maarten (Dutch part),SXM,46330,0.975,2030,0.046
Sint Maarten (Dutch part),SXM,51016,0.985,2050,0.043
Sint Maarten (Dutch part),SXM,64614,1.0,2100,0.045
Seychelles,SYC,140399,0.843,2030,0.064
Seychelles,SYC,141746,0.848,2050,0.054
Seychelles,SYC,156212,0.922,2100,0.028
Syrian Arab Republic,SYR,29395540,0.837,2030,0.111
Syrian Arab Republic,SYR,37793372,0.862,2050,0.07
Syrian Arab Republic,SYR,61341331,0.945,2100,0.017
Turks and Caicos Islands,TCA,48258,0.842,2030,0.05
Turks and Caicos Islands,TCA,50988,0.859,2050,0.043
Turks and Caicos Islands,TCA,58911,0.929,2100,0.02
Chad,TCD,24207479,0.531,2030,0.176
Chad,TCD,38857686,0.559,2050,0.136
Chad,TCD,74784114,0.63,2100,0.063
Togo,TGO,10792997,0.753,2030,0.135
Togo,TGO,15584778,0.809,2050,0.115
Togo,TGO,27371383,0.957,2100,0.068
Thailand,THA,71215022,0.639,2030,0.039
Thailand,THA,66382735,0.689,2050,0.036
Thailand,THA,55525988,0.82,2100,0.023
Tajikistan,TJK,11733068,0.856,2030,0.108
Tajikistan,TJK,15574642,0.897,2050,0.091
Tajikistan,TJK,25157153,1.0,2100,0.031
Tokelau,TKL,2985,0.0,2030,0.099
Tokelau,TKL,3821,0.0,2050,0.069
Tokelau,TKL,6167,0.0,2100,0.03
Turkmenistan,TKM,8135729,0.795,2030,0.086
Turkmenistan,TKM,9639708,0.821,2050,0.077
Turkmenistan,TKM,13614339,0.895,2100,0.028
Timor-Leste,TLS,1519804,0.522,2030,0.099
Timor-Leste,TLS,1889249,0.586,2050,0.074
Timor-Leste,TLS,2826463,0.737,2100,0.004
Tonga,TON,102072,0.615,2030,0.106
Tonga,TON,105195,0.619,2050,0.094
Tonga,TON,109268,0.638,2100,0.056
Trinidad and Tobago,TTO,1512322,0.88,2030,0.049
Trinidad and Tobago,TTO,1399800,0.879,2050,0.043
Trinidad and Tobago,TTO,1163139,0.884,2100,0.02
Tunisia,TUN,12628142,0.717,2030,0.059
Tunisia,TUN,13145141,0.721,2050,0.057
Tunisia,TUN,14666696,0.733,2100,0.03
Türkiye,TUR,89027542,0.832,2030,0.057
Türkiye,TUR,91258061,0.847,2050,0.048
Türkiye,TUR,98029766,0.885,2100,0.016
Tuvalu,TUV,9047,0.772,2030,0.094
Tuvalu,TUV,9780,0.785,2050,0.097
Tuvalu,TUV,10655,0.848,2100,0.07
"China, Taiwan Province of China",TWN,22589950,0.948,2030,0.026
"China, Taiwan Province of China",TWN,19434600,0.951,2050,0.027
"China, Taiwan Province of China",TWN,11951550,0.959,2100,0.018
United Republic of Tanzania,TZA,80913124,0.636,2030,0.151
United Republic of Tanzania,TZA,129621102,0.793,2050,0.124
United Republic of Tanzania,TZA,248633355,1.0,2100,0.062
Uganda,UGA,58312940,0.816,2030,0.146
Uganda,UGA,85431202,0.904,2050,0.106
Uganda,UGA,153453113,1.0,2100,0.009
Ukraine,UKR,38353852,0.771,2030,0.031
Ukraine,UKR,31990132,0.8,2050,0.032
Ukraine,UKR,17550403,0.897,2100,0.029
Uruguay,URY,3372887,0.866,2030,0.048
Uruguay,URY,3254354,0.877,2050,0.043
Uruguay,URY,2985194,0.9,2100,0.026
United States of America,USA,355649881,0.749,2030,0.053
United States of America,USA,380846910,0.769,2050,0.051
United States of America,USA,447001106,0.82,2100,0.047
Uzbekistan,UZB,40248241,0.883,2030,0.108
Uzbekistan,UZB,52210755,0.913,2050,0.094
Uzbekistan,UZB,82428178,0.995,2100,0.052
Holy See,VAT,527,1.0,2030,0.035
Holy See,VAT,714,1.0,2050,0.041
Holy See,VAT,1150,1.0,2100,0.078
Saint Vincent and the Grenadines,VCT,96856,0.649,2030,0.056
Saint Vincent and the Grenadines,VCT,88942,0.665,2050,0.054
Saint Vincent and the Grenadines,VCT,67497,0.71,2100,0.039
Venezuela (Bolivarian Republic of),VEN,29151810,0.89,2030,0.074
Venezuela (Bolivarian Republic of),VEN,31094883,0.9,2050,0.061
Venezuela (Bolivarian Republic of),VEN,36179835,0.927,2100,0.033
British Virgin Islands,VGB,40592,0.661,2030,0.04
British Virgin Islands,VGB,40340,0.675,2050,0.034
British Virgin Islands,VGB,41116,0.735,2100,0.021
United States Virgin Islands,VIR,80852,0.735,2030,0.054
United States Virgin Islands,VIR,71226,0.633,2050,0.053
United States Virgin Islands,VIR,45821,0.414,2100,0.048
Viet Nam,VNM,104254902,0.88,2030,0.061
Viet Nam,VNM,110008908,0.894,2050,0.054
Viet Nam,VNM,126249730,0.932,2100,0.024
Vanuatu,VUT,372428,0.304,2030,0.123
Vanuatu,VUT,534388,0.361,2050,0.106
Vanuatu,VUT,934365,0.486,2100,0.058
Wallis and Futuna Islands,WLF,10859,0.0,2030,0.042
Wallis and Futuna Islands,WLF,10148,0.0,2050,0.047
Wallis and Futuna Islands,WLF,8131,0.0,2100,0.046
Samoa,WSM,225971,0.582,2030,0.114
Samoa,WSM,272726,0.673,2050,0.11
Samoa,WSM,381958,0.866,2100,0.078
Kosovo (under UNSC res. 1244),XKX,1661293,0.724,2030,0.055
Kosovo (under UNSC res. 1244),XKX,1643619,0.731,2050,0.042
Kosovo (under UNSC res. 1244),XKX,1586613,0.752,2100,0.006
Yemen,YEM,47667662,0.858,2030,0.143
Yemen,YEM,70976403,0.892,2050,0.109
Yemen,YEM,129349739,0.98,2100,0.024
South Africa,ZAF,68161359,0.802,2030,0.084
South Africa,ZAF,79177328,0.833,2050,0.072
South Africa,ZAF,107723038,0.909,2100,0.036
Zambia,ZMB,25024901,0.568,2030,0.141
Zambia,ZMB,38083385,0.655,2050,0.111
Zambia,ZMB,70495547,0.866,2100,0.043
Zimbabwe,ZWE,18610348,0.362,2030,0.133
Zimbabwe,ZWE,25866385,0.465,2050,0.108
Zimbabwe,ZWE,43771116,0.705,2100,0.052
