name,alpha3,totalPopulation,fractionUrban,fractionUnderFive
Malta,MLT,545405,0.955,0.041
Montenegro,MNE,632729,0.819,0.058
North Macedonia,MKD,1813791,0.712,0.052
Portugal,PRT,10411834,0.712,0.041
San Marino,SMR,33572,0.807,0.034
Serbia,SRB,6689039,0.657,0.047
Slovenia,SVN,2117072,0.508,0.045
Spain,ESP,47889958,0.793,0.037
Austria,AUT,9113574,0.593,0.047
Belgium,BEL,11758603,0.792,0.05
France,FRA,66650804,0.625,0.051
Germany,DEU,84075075,0.734,0.046
Liechtenstein,LIE,40128,0.762,0.046
Luxembourg,LUX,680454,0.716,0.05
Monaco,MCO,38341,1.0,0.047
Netherlands,NLD,18346819,0.848,0.049
Switzerland,CHE,8967408,0.771,0.048
Anguilla,AIA,14728,0.0,0.046
Antigua and Barbuda,ATG,94208,0.761,0.057
Aruba,ABW,108147,0.955,0.049
Bahamas,BHS,403033,0.825,0.054
Barbados,BRB,282623,0.863,0.056
"Bonaire, Sint Eustatius and Saba",BES,31338,0.646,0.048
British Virgin Islands,VGB,39732,0.641,0.041
Cayman Islands,CYM,75844,0.926,0.055
Cuba,CUB,10937204,0.825,0.046
Curaçao,CUW,185487,0.947,0.039
Dominica,DMA,65872,0.436,0.055
Dominican Republic,DOM,11520487,0.86,0.087
Grenada,GRD,117304,0.725,0.059
Guadeloupe,GLP,373791,0.722,0.051
Haiti,HTI,11906096,0.832,0.104
Jamaica,JAM,2837077,0.728,0.058
Martinique,MTQ,340439,0.718,0.047
Montserrat,MSR,4359,0.0,0.056
Puerto Rico,PRI,3235289,0.811,0.03
Saint Barthélemy,BLM,11414,0.869,0.059
Saint Kitts and Nevis,KNA,46922,0.422,0.06
Saint Lucia,LCA,180149,0.759,0.057
Saint Martin (French part),MAF,24940,0.865,0.074
Saint Vincent and the Grenadines,VCT,99924,0.642,0.064
Sint Maarten (Dutch part),SXM,43923,0.972,0.04
Trinidad and Tobago,TTO,1511155,0.876,0.056
Turks and Caicos Islands,TCA,46855,0.82,0.055
United States Virgin Islands,VIR,84138,0.736,0.057
Belize,BLZ,422924,0.589,0.085
Costa Rica,CRI,5152950,0.741,0.055
El Salvador,SLV,6365503,0.767,0.078
Guatemala,GTM,18687881,0.746,0.101
Honduras,HND,11005850,0.608,0.103
Mexico,MEX,131946900,0.775,0.078
Nicaragua,NIC,7007502,0.647,0.094
Panama,PAN,4571189,0.689,0.079
Argentina,ARG,45851378,0.863,0.06
Bolivia (Plurinational State of),BOL,12581842,0.724,0.099
Brazil,BRA,212812405,0.797,0.063
Chile,CHL,19859921,0.823,0.049
Colombia,COL,53425635,0.822,0.066
Ecuador,ECU,18289896,0.785,0.077
Falkland Islands (Malvinas),FLK,3469,0.0,0.052
French Guiana,GUF,313666,0.726,0.105
Guyana,GUY,835986,0.739,0.099
Paraguay,PRY,7013078,0.607,0.097
Peru,PER,34576665,0.74,0.078
Suriname,SUR,639850,0.734,0.083
Uruguay,URY,3384688,0.865,0.052
Venezuela (Bolivarian Republic of),VEN,28516896,0.886,0.074
Bermuda,BMU,64554,0.985,0.042
Canada,CAN,40126723,0.763,0.047
Greenland,GRL,55745,0.425,0.073
Saint Pierre and Miquelon,SPM,5574,0.0,0.033
United States of America,USA,347275808,0.744,0.054
Australia,AUS,26974026,0.818,0.057
New Zealand,NZL,5251899,0.763,0.057
Fiji,FJI,933154,0.556,0.089
New Caledonia,NCL,295333,0.659,0.07
Papua New Guinea,PNG,10762817,0.479,0.114
Solomon Islands,SLB,838646,0.241,0.124
Vanuatu,VUT,335169,0.301,0.131
Guam,GUM,168999,0.853,0.087
Kiribati,KIR,136488,0.662,0.119
Marshall Islands,MHL,36282,0.512,0.118
Micronesia (Fed. States of),FSM,113683,0.308,0.107
Nauru,NRU,12025,0.923,0.124
Northern Mariana Islands,MNP,43541,0.688,0.071
Palau,PLW,17663,0.395,0.056
American Samoa,ASM,46028,0.757,0.084
Cook Islands,COK,13263,0.0,0.074
French Polynesia,PYF,282465,0.636,0.053
Niue,NIU,1820,0.0,0.068
Samoa,WSM,219306,0.582,0.129
Tokelau,TKL,2608,0.0,0.084
Tonga,TON,103742,0.609,0.114
Tuvalu,TUV,9492,0.749,0.116
Wallis and Futuna Islands,WLF,11194,0.0,0.05
