alpha3,lon,lat,capacity,treatment_type
NLD,7.179,53.131,4347,tertiary
NLD,6.28,52.991,31488,tertiary
NLD,5.829,53.196,138372,tertiary
NLD,6.06,53.114,52543,tertiary
NLD,6.004,53.186,20604,tertiary
NLD,6.057,53.011,20663,tertiary
NLD,5.989,52.887,22854,tertiary
NLD,5.64,53.275,9800,tertiary
NLD,5.643,53.024,31534,tertiary
NLD,6.117,53.225,24313,tertiary
NLD,5.738,53.444,8495,tertiary
NLD,6.032,53.278,16479,tertiary
NLD,5.761,52.983,26384,tertiary
NLD,5.523,53.076,25972,tertiary
NLD,5.64,52.904,11127,tertiary
NLD,5.835,53.046,3875,tertiary
NLD,5.239,53.369,10714,tertiary
NLD,5.702,52.862,12257,tertiary
NLD,6.021,53.324,20976,tertiary
NLD,5.883,53.299,16024,tertiary
NLD,5.452,52.973,9283,tertiary
NLD,5.895,52.971,63473,tertiary
NLD,5.455,53.173,32377,tertiary
NLD,6.199,53.049,9937,tertiary
NLD,5.819,53.093,15520,tertiary
NLD,5.397,52.886,6145,tertiary
NLD,5.579,53.179,46253,tertiary
NLD,5.085,53.299,2741,tertiary
NLD,6.193,53.469,2337,tertiary
NLD,6.485,52.861,46473,tertiary
NLD,6.577,53.002,74019,tertiary
NLD,6.194,52.711,60807,tertiary
NLD,6.883,52.733,97967,tertiary
NLD,6.949,52.919,6672,tertiary
NLD,6.75,52.843,2383,tertiary
NLD,6.454,52.942,7413,tertiary
NLD,6.792,52.764,16850,tertiary
NLD,6.604,53.13,46710,tertiary
NLD,6.774,53.016,27997,tertiary
NLD,6.333,52.846,18818,tertiary
NLD,6.417,52.711,146341,tertiary
NLD,6.718,52.644,34533,tertiary
NLD,6.062,52.606,20417,tertiary
NLD,6.111,52.351,24750,tertiary
NLD,6.408,52.528,18467,tertiary
NLD,5.95,52.673,4747,tertiary
NLD,6.203,52.442,5800,tertiary
NLD,6.129,52.272,70317,tertiary
NLD,6.101,52.786,30947,tertiary
NLD,6.263,52.397,34667,tertiary
NLD,6.413,52.245,22967,tertiary
NLD,5.876,52.578,65000,tertiary
NLD,6.61,52.542,32050,tertiary
NLD,6.238,52.512,21100,tertiary
NLD,6.049,52.509,126400,tertiary
NLD,5.683,52.687,79033,tertiary
NLD,6.474,52.611,35183,tertiary
NLD,6.176,52.531,9883,tertiary
NLD,6.716,52.178,27850,tertiary
NLD,6.842,52.235,179917,tertiary
NLD,6.979,52.22,13183,tertiary
NLD,6.633,52.409,14600,tertiary
NLD,6.767,52.41,10100,tertiary
NLD,7.035,52.386,25367,tertiary
NLD,6.894,52.31,49833,tertiary
NLD,6.566,52.448,18550,tertiary
NLD,7.015,52.261,19867,tertiary
NLD,6.573,52.248,20867,tertiary
NLD,6.772,52.28,95317,tertiary
NLD,6.931,52.413,9233,tertiary
NLD,6.651,52.367,39483,tertiary
NLD,6.625,52.343,95167,tertiary
NLD,6.53,52.32,37200,tertiary
NLD,6.473,52.371,42700,tertiary
NLD,6.479,52.466,5583,tertiary
NLD,5.718,52.538,33183,tertiary
NLD,5.5,52.504,67733,tertiary
NLD,5.247,52.401,168450,tertiary
NLD,5.508,52.361,28367,tertiary
NLD,6.572,51.914,18050,tertiary
NLD,6.211,51.97,6950,tertiary
NLD,6.44,52.091,8167,tertiary
NLD,6.563,51.999,18700,tertiary
NLD,6.707,51.987,36517,tertiary
NLD,6.458,51.955,13500,tertiary
SVK,19.14,48.67,43008,tertiary
DEU,6.472,51.857,9917,tertiary
SVK,19.14,48.67,10347,tertiary
NLD,6.194,52.161,81733,tertiary
SVK,21.32,49.29,14953,tertiary
NLD,6.003,51.974,215383,tertiary
SVK,16.97,48.22,32970,tertiary
NLD,6.146,52.048,88667,tertiary
SVK,17.14,48.1,106274,secondary
NLD,6.322,51.932,154117,tertiary
SVK,17.22,48.15,342393,secondary
NLD,6.594,52.119,44900,tertiary
SVK,19.6,48.81,11580,tertiary
NLD,5.475,52.233,62183,tertiary
SVK,17.53,48.66,2927,secondary
NLD,5.835,52.459,66367,tertiary
NLD,5.631,52.359,152750,tertiary
SVK,18.54,49.21,5595,secondary
NLD,6.055,52.392,16550,tertiary
SVK,18.6,49.23,215,primary
NLD,6.0,52.345,24850,tertiary
SVK,18.8,49.43,35059,tertiary
