hdi_bin,context,flushSewer,flushSeptic,flushPit,flushUnknown,flushOpen,pitSlab,pitNoSlab,hangingToilet,bucketLatrine,compostingToilet,openDefecation,other,n_observations
0.225,Rural,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.95,1
0.275,Rural,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.905,1
0.325,Rural,0.0005,0.0015,0.0,0.0,0.0,0.357,0.1055,0.0015,0.0,0.0,0.5289999999999999,0.005,2
0.35,Rural,0.001,0.004428571428571428,0.0007142857142857143,0.0,0.00014285714285714287,0.16585714285714284,0.20557142857142857,0.0004285714285714286,0.0007142857142857143,0.004,0.38385714285714284,0.2332857142857143,7
0.375,Rural,0.0013846153846153847,0.004538461538461539,0.004461538461538461,0.00023076923076923076,0.0019230769230769232,0.20723076923076922,0.12023076923076924,7.692307692307693e-05,0.00015384615384615385,0.0026923076923076926,0.5054615384615384,0.15161538461538462,13
0.4,Rural,0.010260869565217393,0.016391304347826086,0.0072173913043478265,0.003695652173913043,0.005043478260869565,0.2217391304347826,0.11647826086956521,0.004,0.0011304347826086956,0.004956521739130434,0.3237826086956522,0.285304347826087,23
0.425,Rural,0.010888888888888889,0.019055555555555555,0.009777777777777778,0.0007222222222222223,0.0009444444444444445,0.2811111111111111,0.10611111111111111,0.0017777777777777779,0.001,0.0020555555555555557,0.24144444444444446,0.32511111111111113,18
0.45,Rural,0.00335,0.011649999999999999,0.00435,0.00225,0.0015,0.16124999999999998,0.155,0.0018,0.00245,0.0024999999999999996,0.2952,0.3587,20
0.475,Rural,0.015,0.046714285714285715,0.008178571428571427,0.0017142857142857144,0.008821428571428572,0.24392857142857144,0.11996428571428572,0.008499999999999999,0.0008571428571428572,0.001392857142857143,0.2559642857142857,0.2889642857142857,28
0.5,Rural,0.013934782608695653,0.04104347826086957,0.015630434782608695,0.002478260869565217,0.0020217391304347826,0.17478260869565215,0.08530434782608695,0.0059347826086956525,0.0005869565217391305,0.0025652173913043477,0.22504347826086957,0.43067391304347824,46
0.525,Rural,0.01660714285714286,0.0652857142857143,0.011535714285714285,0.0017142857142857144,0.005214285714285715,0.23964285714285713,0.05064285714285715,0.0013214285714285713,0.0004999999999999999,0.003892857142857143,0.18825,0.4153928571428572,28
0.55,Rural,0.05897727272727272,0.06574999999999999,0.035045454545454546,0.001159090909090909,0.0009772727272727272,0.22115909090909092,0.13672727272727273,0.004340909090909091,0.0011136363636363637,0.00125,0.18663636363636363,0.2868636363636364,44
0.575,Rural,0.06568571428571428,0.13388571428571427,0.07411428571428572,0.00025714285714285715,0.0061142857142857145,0.28105714285714284,0.08434285714285714,0.0041428571428571434,0.0006285714285714285,0.0030571428571428572,0.17094285714285715,0.17577142857142858,35
0.6,Rural,0.10877777777777779,0.18392592592592594,0.09285185185185185,0.006,0.003703703703703704,0.18725925925925926,0.0532962962962963,0.0006296296296296297,0.0016666666666666666,0.0009629629629629629,0.21881481481481482,0.1421111111111111,27
0.625,Rural,0.10521052631578948,0.14300000000000002,0.05923684210526316,0.023842105263157894,0.0016052631578947368,0.32463157894736844,0.015078947368421055,0.008578947368421052,0.0012368421052631577,0.0033157894736842108,0.2384736842105263,0.07578947368421052,38
0.65,Rural,0.15987037037037036,0.2010925925925926,0.01562962962962963,0.07533333333333332,0.006203703703703704,0.31837037037037036,0.003407407407407407,0.0007222222222222222,0.0009814814814814816,0.01461111111111111,0.07383333333333333,0.12994444444444445,54
0.675,Rural,0.23272222222222222,0.23674074074074075,0.043555555555555556,0.02398148148148148,0.0026481481481481486,0.21166666666666667,0.011592592592592592,0.0011851851851851852,0.0015740740740740739,0.0009074074074074074,0.08548148148148149,0.14794444444444443,54
0.7,Rural,0.1739672131147541,0.2981475409836066,0.05034426229508196,0.024721311475409836,0.005213114754098361,0.18011475409836067,0.011147540983606558,0.001557377049180328,1.639344262295082e-05,0.003229508196721311,0.053459016393442624,0.19808196721311475,61
0.725,Rural,0.22450000000000003,0.26619444444444446,0.05444444444444444,0.005208333333333334,0.004361111111111111,0.19404166666666667,0.01609722222222222,0.0,0.0005972222222222222,5.555555555555556e-05,0.03988888888888889,0.19461111111111112,72
0.75,Rural,0.3233333333333333,0.26927083333333335,0.019427083333333334,0.013875,0.0045625,0.20575,0.014416666666666668,3.125e-05,0.00014583333333333335,0.00046875,0.03388541666666667,0.11483333333333333,96
0.775,Rural,0.40093103448275863,0.19540229885057472,0.012310344827586209,0.027310344827586205,0.0020344827586206895,0.15697701149425286,0.006448275862068966,9.195402298850575e-05,0.0,0.0,0.009839080459770116,0.1886551724137931,87
0.8,Rural,0.48792233009708735,0.21318446601941746,0.01537864077669903,0.017320388349514562,0.003766990291262136,0.11424271844660194,0.001466019417475728,0.0,9.70873786407767e-06,3.883495145631068e-05,0.003,0.14366990291262136,103
0.825,Rural,0.6155999999999999,0.158175,0.017625000000000002,1.25e-05,0.0020625,0.1102,0.0015249999999999999,0.000175,0.0,0.0,0.0012000000000000001,0.09342500000000001,80
0.85,Rural,0.671967032967033,0.13315384615384615,0.002901098901098901,0.01010989010989011,2.1978021978021977e-05,0.1019120879120879,0.0,0.0,0.0,0.0,0.00019780219780219779,0.07973626373626373,91
0.875,Rural,0.763578125,0.15146874999999999,0.0008671875,0.0,0.0,0.0373671875,0.0,0.0,0.0,0.0,0.0,0.046718749999999996,128
0.9,Rural,0.8424507042253521,0.09429577464788733,0.0003380281690140845,0.0003380281690140845,0.0,0.047795774647887326,0.0,0.0,0.0,0.0,0.0,0.014781690140845072,142
0.925,Rural,0.8522131147540983,0.09409016393442622,5.737704918032787e-05,0.000180327868852459,0.0,0.04190983606557377,0.0,0.0,0.0,0.0,0.0,0.011549180327868853,122
0.95,Rural,0.9088260869565217,0.08330434782608695,0.00026086956521739134,0.0,0.0,0.0,0.0,0.0,0.0,0.00030434782608695655,0.0,0.007304347826086957,23
0.225,Urban,0.0,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0,0.212,1
0.275,Urban,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.905,1
0.3,Urban,0.194,0.0,0.0,0.125,0.0,0.5990000000000001,0.044,0.0,0.0,0.0,0.024,0.014,1
0.325,Urban,0.03,0.039,0.004,0.0,0.0005,0.6299999999999999,0.1435,0.0015,0.0,0.0,0.129,0.0225,2
0.35,Urban,0.02266666666666667,0.04844444444444444,0.0005555555555555556,0.0,0.00011111111111111112,0.3257777777777778,0.13877777777777778,0.0003333333333333333,0.0005555555555555556,0.0006666666666666666,0.20533333333333334,0.25677777777777777,9
0.375,Urban,0.029666666666666668,0.03713333333333333,0.0068,0.0002,0.002533333333333333,0.3267333333333333,0.14320000000000002,0.004,0.00046666666666666666,0.0016,0.306,0.14166666666666666,15
