scenario,year,alpha3,bucketLatrine_urb,compostingToilet_urb,flushOpen_urb,flushPit_urb,flushSeptic_urb,flushSewer_urb,flushUnknown_urb,hangingToilet_urb,openDefecation_urb,other_urb,pitNoSlab_urb,pitSlab_urb,containerBased_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,coverBury_urb,fecalSludgeTreated_urb,sewageTreated_urb,isWatertight_urb,hasLeach_urb,bucketLatrine_rur,compostingToilet_rur,flushOpen_rur,flushPit_rur,flushSeptic_rur,flushSewer_rur,flushUnknown_rur,hangingToilet_rur,openDefecation_rur,other_rur,pitNoSlab_rur,pitSlab_rur,containerBased_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,coverBury_rur,fecalSludgeTreated_rur,sewageTreated_rur,isWatertight_rur,hasLeach_rur
SSP1,2025,ASM,0.000,0.000,0.000,0.000,0.105,0.895,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.656,0.000,0.000,0.000,0.000,0.000,0.000,0.067,0.933,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.656,0.000,0.000
SSP1,2025,ATF,0.002,0.000,0.001,0.001,0.000,0.604,0.004,0.002,0.072,0.087,0.000,0.227,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.020,0.000,0.265,0.000,0.004,0.230,0.066,0.000,0.413,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SSP1,2025,ATG,0.000,0.000,0.000,0.132,0.725,0.020,0.000,0.000,0.011,0.010,0.000,0.102,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.106,0.853,0.001,0.000,0.000,0.003,0.001,0.000,0.036,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SSP1,2025,AUS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.645,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.645,0.000,0.000
SSP1,2025,AUT,0.000,0.000,0.000,0.000,0.000,0.985,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.008,0.008,0.939,0.008,0.008,0.000,0.000,0.000,0.000,0.000,0.997,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.141,0.008,0.939,0.008,0.008
SSP1,2025,AZE,0.000,0.000,0.000,0.000,0.000,0.998,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.045,0.041,0.350,0.041,0.041,0.000,0.000,0.000,0.000,0.000,0.967,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.350,0.000,0.000
SSP1,2025,BDI,0.000,0.001,0.000,0.017,0.275,0.032,0.001,0.001,0.005,0.000,0.183,0.485,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.002,0.000,0.000,0.004,0.000,0.000,0.001,0.024,0.000,0.486,0.483,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000
SSP1,2025,BEL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.750,0.000,0.000
SSP1,2025,BEN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.308,0.692,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.032,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.586,0.414,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.017,0.000,0.018,0.000,0.000
SSP1,2025,BES,0.001,0.000,0.002,0.029,0.050,0.738,0.030,0.000,0.001,0.012,0.000,0.137,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.130,0.000,0.000,0.001,0.002,0.006,0.101,0.082,0.466,0.038,0.000,0.027,0.017,0.000,0.260,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.130,0.000,0.000
SSP1,2025,BFA,0.000,0.000,0.000,0.023,0.066,0.013,0.002,0.001,0.067,0.000,0.024,0.804,0.002,0.100,3.000,0.000,0.000,0.000,0.119,0.000,0.018,0.000,0.000,0.000,0.004,0.001,0.001,0.000,0.001,0.000,0.004,0.499,0.000,0.094,0.396,0.000,0.100,3.000,0.000,0.000,0.000,0.086,0.000,0.018,0.000,0.000
SSP1,2025,BGD,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.169,0.011,0.000,0.000,0.820,0.628,0.100,3.000,0.000,0.000,0.000,0.204,0.000,0.024,0.000,0.000,0.000,0.000,0.017,0.204,0.229,0.008,0.000,0.007,0.001,0.013,0.044,0.477,0.000,0.100,3.000,0.000,0.000,0.000,0.322,0.000,0.024,0.000,0.000
