alpha3,flushSewer_urb,flushSeptic_urb,flushPit_urb,flushOpen_urb,flushUnknown_urb,pitSlab_urb,pitNoSlab_urb,bucketLatrine_urb,hangingToilet_urb,openDefecation_urb,containerBased_urb,compostingToilet_urb,other_urb,coverBury_urb,sewageTreated_urb,fecalSludgeTreated_urb,isWatertight_urb,hasLeach_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,flushSewer_rur,flushSeptic_rur,flushPit_rur,flushOpen_rur,flushUnknown_rur,pitSlab_rur,pitNoSlab_rur,bucketLatrine_rur,hangingToilet_rur,openDefecation_rur,containerBased_rur,compostingToilet_rur,other_rur,coverBury_rur,sewageTreated_rur,fecalSludgeTreated_rur,isWatertight_rur,hasLeach_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur
GUF,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.204,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.204,0.000,0.000,0.000,0.100,3,0,0,0
GUY,0.075,0.751,0.016,0.004,0.001,0.136,0.009,0.001,0.001,0.003,0.000,0.000,0.001,0.307,0.050,0.000,0.000,0.000,0.100,3,0,0,0,0.026,0.704,0.014,0.001,0.000,0.236,0.014,0.000,0.001,0.004,0.000,0.000,0.000,0.473,0.050,0.000,0.000,0.000,0.100,3,0,0,0
HND,0.622,0.224,0.074,0.016,0.003,0.036,0.000,0.000,0.000,0.019,0.000,0.000,0.007,0.172,0.100,0.001,0.001,0.001,0.100,3,0,0,0,0.039,0.359,0.415,0.007,0.004,0.071,0.000,0.000,0.000,0.100,0.000,0.000,0.005,0.687,0.100,0.000,0.000,0.000,0.100,3,0,0,0
HRV,0.991,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.493,0.000,0.000,0.000,0.100,3,0,0,0,0.972,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.493,0.000,0.000,0.000,0.100,3,0,0,0
HTI,0.000,0.000,0.000,0.000,0.000,0.738,0.049,0.000,0.000,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.028,0.002,0.000,0.000,0.359,0.237,0.000,0.012,0.358,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0
HUN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.718,0.020,0.020,0.020,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.718,0.089,0.089,0.089,0.100,3,0,0,0
IDN,0.000,0.814,0.000,0.000,0.000,0.086,0.000,0.000,0.000,0.049,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.760,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.100,3,0,0,0
IND,0.253,0.533,0.072,0.014,0.003,0.043,0.005,0.000,0.000,0.061,0.000,0.011,0.005,0.283,0.023,0.019,0.019,0.019,0.100,3,0,0,0,0.000,0.124,0.868,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.568,0.023,0.000,0.000,0.000,0.100,3,0,0,0
IRL,0.917,0.021,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.009,0.619,0.009,0.009,0.009,0.100,3,0,0,0,0.207,0.673,0.000,0.000,0.000,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.500,0.619,0.000,0.000,0.000,0.100,3,0,0,0
IRN,0.390,0.005,0.000,0.000,0.000,0.594,0.000,0.000,0.000,0.004,0.000,0.000,0.007,0.227,0.220,0.227,0.227,0.227,0.100,3,0,0,0,0.054,0.005,0.000,0.000,0.000,0.901,0.000,0.000,0.000,0.029,0.000,0.000,0.012,0.000,0.220,0.000,0.000,0.000,0.100,3,0,0,0
IRQ,0.212,0.000,0.000,0.000,0.000,0.784,0.000,0.000,0.000,0.001,0.000,0.000,0.003,0.197,0.123,0.000,0.000,0.000,0.100,3,0,0,0,0.028,0.702,0.000,0.000,0.008,0.154,0.030,0.000,0.000,0.003,0.000,0.000,0.002,0.407,0.123,0.000,0.000,0.000,0.100,3,0,0,0
ISL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.910,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.910,0.000,0.000,0.000,0.100,3,0,0,0
ISR,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.874,0.001,0.001,0.001,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.990,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.010,0.874,0.010,0.010,0.010,0.100,3,0,0,0
ITA,0.993,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.005,0.600,0.005,0.005,0.005,0.100,3,0,0,0,0.992,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.016,0.600,0.016,0.016,0.016,0.100,3,0,0,0
JAM,0.284,0.514,0.068,0.000,0.000,0.122,0.000,0.000,0.000,0.001,0.000,0.000,0.011,0.000,0.080,0.000,0.000,0.000,0.100,3,0,0,0,0.054,0.612,0.055,0.000,0.000,0.271,0.000,0.000,0.000,0.002,0.000,0.000,0.005,0.000,0.080,0.000,0.000,0.000,0.100,3,0,0,0
JOR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.072,0.598,0.072,0.072,0.072,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.598,0.000,0.000,0.000,0.100,3,0,0,0
JPN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.690,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.690,0.000,0.000,0.000,0.100,3,0,0,0
KAZ,0.682,0.091,0.003,0.000,0.000,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.155,0.381,0.138,0.138,0.138,0.100,3,0,0,0,0.043,0.091,0.010,0.000,0.000,0.855,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.381,0.000,0.000,0.000,0.100,3,0,0,0
KEN,0.215,0.149,0.054,0.023,0.008,0.372,0.149,0.005,0.000,0.010,0.000,0.013,0.001,0.229,0.049,0.000,0.000,0.000,0.100,3,0,0,0,0.006,0.020,0.038,0.004,0.001,0.443,0.377,0.001,0.002,0.098,0.000,0.011,0.001,0.329,0.049,0.000,0.000,0.000,0.100,3,0,0,0
KGZ,0.477,0.023,0.061,0.000,0.001,0.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.463,0.143,0.000,0.000,0.000,0.100,3,0,0,0,0.010,0.005,0.104,0.000,0.000,0.879,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.965,0.143,0.000,0.000,0.000,0.100,3,0,0,0
KHM,0.359,0.591,0.000,0.008,0.000,0.000,0.000,0.000,0.003,0.040,0.000,0.000,0.000,0.236,0.032,0.000,0.000,0.000,0.100,3,0,0,0,0.025,0.787,0.033,0.009,0.000,0.003,0.001,0.000,0.002,0.138,0.000,0.001,0.001,0.316,0.032,0.000,0.000,0.000,0.100,3,0,0,0
KIR,0.064,0.538,0.036,0.015,0.000,0.008,0.004,0.000,0.000,0.257,0.000,0.000,0.002,0.214,0.000,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.362,0.075,0.033,0.000,0.010,0.018,0.000,0.000,0.489,0.000,0.000,0.001,0.251,0.000,0.000,0.000,0.000,0.100,3,0,0,0
KOR,0.901,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.888,0.000,0.000,0.000,0.100,3,0,0,0,0.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.888,0.000,0.000,0.000,0.100,3,0,0,0
LBR,0.007,0.217,0.051,0.007,0.001,0.055,0.047,0.003,0.030,0.106,0.000,0.002,0.473,0.000,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.345,0.000,0.000,0.655,0.000,0.018,0.000,0.000,0.000,0.100,3,0,0,0
LBY,0.542,0.068,0.000,0.000,0.358,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.000,0.101,0.000,0.000,0.000,0.100,3,0,0,0,0.549,0.139,0.000,0.000,0.269,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.043,0.000,0.101,0.000,0.000,0.000,0.100,3,0,0,0
LCA,0.110,0.738,0.000,0.000,0.002,0.084,0.000,0.011,0.000,0.052,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0
LKA,0.000,0.000,0.000,0.000,0.000,0.947,0.000,0.000,0.000,0.000,0.000,0.000,0.052,0.000,0.030,0.000,0.000,0.000,0.100,3,0,0,0,0.021,0.017,0.919,0.002,0.000,0.024,0.002,0.000,0.000,0.011,0.000,0.000,0.002,0.000,0.030,0.000,0.000,0.000,0.100,3,0,0,0
LSO,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.066,0.000,0.000,0.934,0.386,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.201,0.000,0.000,0.799,0.509,0.018,0.000,0.000,0.000,0.100,3,0,0,0
LTU,0.973,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.000,0.659,0.000,0.000,0.000,0.100,3,0,0,0,0.770,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.230,0.055,0.659,0.055,0.055,0.055,0.100,3,0,0,0
LUX,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.914,0.000,0.000,0.000,0.100,3,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.047,0.914,0.047,0.047,0.047,0.100,3,0,0,0
LVA,0.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.626,0.000,0.000,0.000,0.100,3,0,0,0,0.833,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.626,0.000,0.000,0.000,0.100,3,0,0,0
MAR,0.448,0.015,0.000,0.000,0.000,0.035,0.000,0.000,0.000,0.002,0.000,0.000,0.500,0.012,0.198,0.005,0.005,0.005,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.198,0.000,0.000,0.000,0.100,3,0,0,0
MDA,0.786,0.178,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.086,0.265,0.084,0.084,0.084,0.100,3,0,0,0,0.029,0.608,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.363,0.000,0.265,0.000,0.000,0.000,0.100,3,0,0,0
MDG,0.026,0.201,0.018,0.003,0.003,0.315,0.282,0.010,0.004,0.132,0.000,0.001,0.004,0.158,0.007,0.000,0.000,0.000,0.100,3,0,0,0,0.003,0.014,0.002,0.001,0.000,0.250,0.344,0.000,0.002,0.384,0.000,0.000,0.000,0.096,0.007,0.000,0.000,0.000,0.100,3,0,0,0
MDV,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0,0.510,0.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0
MEX,0.909,0.076,0.000,0.007,0.000,0.004,0.000,0.000,0.000,0.002,0.000,0.000,0.002,0.019,0.268,0.014,0.014,0.014,0.100,3,0,0,0,0.406,0.527,0.000,0.016,0.000,0.026,0.000,0.000,0.000,0.021,0.000,0.000,0.002,0.000,0.268,0.000,0.000,0.000,0.100,3,0,0,0
MHL,0.753,0.151,0.003,0.000,0.001,0.002,0.000,0.031,0.000,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0,0.030,0.567,0.029,0.007,0.000,0.020,0.000,0.000,0.000,0.347,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0
MKD,0.988,0.007,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.070,0.000,0.000,0.000,0.100,3,0,0,0,0.529,0.309,0.017,0.054,0.011,0.059,0.018,0.000,0.000,0.001,0.000,0.000,0.002,0.123,0.070,0.011,0.011,0.011,0.100,3,0,0,0
MLI,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.000,0.000,0.940,0.062,0.007,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.153,0.000,0.000,0.847,0.229,0.007,0.000,0.000,0.000,0.100,3,0,0,0
MLT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.201,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.201,0.000,0.000,0.000,0.100,3,0,0,0
MMR,0.000,0.000,0.871,0.000,0.052,0.038,0.000,0.010,0.000,0.026,0.000,0.000,0.003,0.518,0.010,0.000,0.000,0.000,0.100,3,0,0,0,0.001,0.025,0.299,0.004,0.009,0.165,0.313,0.001,0.017,0.142,0.000,0.021,0.003,0.641,0.010,0.000,0.000,0.000,0.100,3,0,0,0
MNE,0.597,0.378,0.005,0.004,0.004,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.151,0.093,0.043,0.043,0.043,0.100,3,0,0,0,0.210,0.685,0.014,0.068,0.002,0.017,0.003,0.000,0.000,0.002,0.000,0.000,0.000,0.299,0.093,0.000,0.000,0.000,0.100,3,0,0,0
MNG,0.408,0.006,0.002,0.000,0.001,0.565,0.008,0.000,0.000,0.002,0.000,0.003,0.004,0.428,0.038,0.000,0.000,0.000,0.100,3,0,0,0,0.041,0.005,0.001,0.000,0.005,0.786,0.087,0.000,0.000,0.073,0.000,0.003,0.001,0.533,0.038,0.000,0.000,0.000,0.100,3,0,0,0
MNP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0
MOZ,0.000,0.000,0.000,0.000,0.273,0.608,0.000,0.000,0.000,0.119,0.000,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.016,0.591,0.000,0.000,0.000,0.393,0.000,0.000,0.000,0.209,0.018,0.000,0.000,0.000,0.100,3,0,0,0
MRT,0.053,0.000,0.288,0.000,0.021,0.403,0.116,0.000,0.000,0.110,0.000,0.000,0.008,0.000,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.016,0.109,0.135,0.016,0.002,0.071,0.039,0.000,0.005,0.588,0.000,0.017,0.002,0.000,0.018,0.000,0.000,0.000,0.100,3,0,0,0
MTQ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.130,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.130,0.000,0.000,0.000,0.100,3,0,0,0
MUS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.997,0.000,0.160,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.998,0.000,0.160,0.000,0.000,0.000,0.100,3,0,0,0
MWI,0.011,0.101,0.005,0.001,0.000,0.672,0.188,0.000,0.001,0.015,0.000,0.005,0.001,0.395,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.002,0.004,0.001,0.000,0.000,0.532,0.365,0.001,0.003,0.084,0.000,0.006,0.004,0.471,0.018,0.000,0.000,0.000,0.100,3,0,0,0
MYS,0.000,0.000,0.000,0.000,0.999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.639,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.989,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.639,0.000,0.000,0.000,0.100,3,0,0,0
NAM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.146,0.000,0.000,0.854,0.000,0.190,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.552,0.000,0.000,0.448,0.000,0.190,0.000,0.000,0.000,0.100,3,0,0,0
NER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.098,0.000,0.000,0.902,0.193,0.002,0.000,0.000,0.000,0.100,3,0,0,0,0.002,0.003,0.010,0.002,0.000,0.048,0.126,0.000,0.045,0.754,0.000,0.001,0.009,0.049,0.002,0.000,0.000,0.000,0.100,3,0,0,0
NGA,0.090,0.375,0.123,0.007,0.004,0.240,0.078,0.002,0.007,0.059,0.000,0.009,0.004,0.326,0.021,0.000,0.000,0.000,0.100,3,0,0,0,0.038,0.104,0.070,0.005,0.002,0.250,0.211,0.002,0.011,0.283,0.000,0.010,0.015,0.248,0.021,0.000,0.000,0.000,0.100,3,0,0,0
NIC,0.353,0.106,0.000,0.002,0.000,0.525,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.100,3,0,0,0,0.003,0.023,0.000,0.000,0.000,0.798,0.000,0.000,0.000,0.176,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.100,3,0,0,0
NLD,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.993,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.993,0.012,0.012,0.012,0.100,3,0,0,0
NOR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.811,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.811,0.000,0.000,0.000,0.100,3,0,0,0
NPL,0.144,0.550,0.204,0.006,0.002,0.033,0.001,0.000,0.000,0.042,0.000,0.014,0.003,0.381,0.024,0.000,0.000,0.000,0.100,3,0,0,0,0.002,0.475,0.170,0.002,0.000,0.107,0.010,0.000,0.000,0.219,0.000,0.014,0.000,0.513,0.024,0.000,0.000,0.000,0.100,3,0,0,0
NZL,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.740,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.740,0.000,0.000,0.000,0.100,3,0,0,0
PAK,0.611,0.138,0.047,0.171,0.000,0.015,0.000,0.000,0.002,0.010,0.000,0.000,0.003,0.140,0.150,0.000,0.000,0.000,0.100,3,0,0,0,0.061,0.253,0.240,0.180,0.000,0.068,0.000,0.000,0.034,0.143,0.000,0.003,0.016,0.367,0.150,0.000,0.000,0.000,0.100,3,0,0,0
PAN,0.000,0.000,0.000,0.000,0.000,0.145,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.128,0.150,0.079,0.079,0.079,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.450,0.000,0.000,0.000,0.129,0.000,0.000,0.000,0.000,0.150,0.000,0.000,0.000,0.100,3,0,0,0
PER,0.857,0.020,0.000,0.007,0.000,0.046,0.037,0.000,0.000,0.012,0.000,0.000,0.020,0.022,0.250,0.018,0.018,0.018,0.100,3,0,0,0,0.188,0.213,0.000,0.007,0.000,0.242,0.148,0.000,0.000,0.132,0.000,0.000,0.071,0.000,0.250,0.000,0.000,0.000,0.100,3,0,0,0
PHL,0.118,0.782,0.056,0.010,0.002,0.009,0.001,0.001,0.002,0.016,0.000,0.001,0.002,0.518,0.016,0.000,0.000,0.000,0.100,3,0,0,0,0.050,0.640,0.179,0.013,0.003,0.040,0.004,0.001,0.008,0.056,0.000,0.002,0.006,0.666,0.016,0.000,0.000,0.000,0.100,3,0,0,0
PLW,0.887,0.000,0.000,0.000,0.087,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0,0.120,0.880,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0
PNG,0.456,0.098,0.002,0.000,0.000,0.345,0.097,0.000,0.000,0.002,0.000,0.000,0.000,0.074,0.019,0.042,0.042,0.042,0.100,3,0,0,0,0.044,0.025,0.002,0.000,0.000,0.499,0.392,0.000,0.004,0.033,0.000,0.001,0.000,0.000,0.019,0.000,0.000,0.000,0.100,3,0,0,0
POL,0.905,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.095,0.000,0.646,0.000,0.000,0.000,0.100,3,0,0,0,0.422,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.578,0.000,0.646,0.000,0.000,0.000,0.100,3,0,0,0
PRT,0.929,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.594,0.004,0.004,0.004,0.100,3,0,0,0,0.730,0.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.115,0.594,0.009,0.009,0.009,0.100,3,0,0,0
PRY,0.122,0.610,0.226,0.009,0.000,0.028,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.470,0.051,0.000,0.000,0.000,0.100,3,0,0,0,0.005,0.422,0.302,0.001,0.000,0.261,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.590,0.051,0.000,0.000,0.000,0.100,3,0,0,0
PSE,0.602,0.122,0.275,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.201,0.000,0.070,0.070,0.070,0.100,3,0,0,0,0.153,0.216,0.625,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.002,0.484,0.000,0.000,0.000,0.000,0.100,3,0,0,0
ROU,0.874,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.126,0.000,0.307,0.000,0.000,0.000,0.100,3,0,0,0,0.410,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.590,0.000,0.307,0.000,0.000,0.000,0.100,3,0,0,0
RUS,0.905,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.095,0.018,0.489,0.012,0.012,0.012,0.100,3,0,0,0,0.217,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.783,0.000,0.489,0.000,0.000,0.000,0.100,3,0,0,0
RWA,0.060,0.047,0.021,0.036,0.002,0.748,0.077,0.000,0.000,0.010,0.000,0.001,0.000,0.000,0.007,0.000,0.000,0.000,0.100,3,0,0,0,0.005,0.003,0.005,0.011,0.001,0.682,0.263,0.000,0.000,0.029,0.000,0.001,0.000,0.577,0.007,0.000,0.000,0.000,0.100,3,0,0,0
SDN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.923,0.000,0.007,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.202,0.000,0.000,0.798,0.000,0.007,0.000,0.000,0.000,0.100,3,0,0,0
SEN,0.084,0.315,0.025,0.001,0.000,0.040,0.025,0.001,0.004,0.011,0.000,0.004,0.493,0.084,0.022,0.000,0.000,0.000,0.100,3,0,0,0,0.007,0.122,0.070,0.004,0.001,0.083,0.130,0.000,0.008,0.103,0.000,0.004,0.468,0.141,0.022,0.000,0.000,0.000,0.100,3,0,0,0
SLE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.972,0.221,0.001,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.025,0.034,0.003,0.000,0.338,0.190,0.001,0.029,0.354,0.000,0.001,0.025,0.098,0.001,0.000,0.000,0.000,0.100,3,0,0,0
SLV,0.553,0.235,0.000,0.000,0.000,0.185,0.000,0.000,0.000,0.002,0.000,0.025,0.000,0.144,0.028,0.006,0.006,0.006,0.100,3,0,0,0,0.016,0.274,0.000,0.000,0.000,0.550,0.000,0.000,0.000,0.029,0.000,0.131,0.000,0.000,0.028,0.000,0.000,0.000,0.100,3,0,0,0
SOM,0.054,0.057,0.188,0.010,0.021,0.486,0.155,0.003,0.000,0.017,0.000,0.000,0.009,0.414,0.007,0.000,0.000,0.000,0.100,3,0,0,0,0.004,0.001,0.000,0.000,0.000,0.420,0.000,0.001,0.000,0.574,0.000,0.000,0.000,0.207,0.007,0.000,0.000,0.000,0.100,3,0,0,0
SRB,0.868,0.123,0.000,0.002,0.000,0.005,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.044,0.093,0.042,0.042,0.042,0.100,3,0,0,0,0.913,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.087,0.262,0.093,0.000,0.000,0.000,0.100,3,0,0,0
STP,0.184,0.082,0.006,0.025,0.001,0.253,0.015,0.002,0.000,0.427,0.000,0.000,0.005,0.275,0.000,0.000,0.000,0.000,0.100,3,0,0,0,0.128,0.049,0.009,0.018,0.001,0.264,0.012,0.001,0.000,0.511,0.000,0.000,0.008,0.271,0.000,0.000,0.000,0.000,0.100,3,0,0,0
