alpha3,flushSewer_urb,flushSeptic_urb,flushPit_urb,flushOpen_urb,flushUnknown_urb,pitSlab_urb,pitNoSlab_urb,bucketLatrine_urb,hangingToilet_urb,openDefecation_urb,containerBased_urb,compostingToilet_urb,other_urb,coverBury_urb,sewageTreated_urb,fecalSludgeTreated_urb,isWatertight_urb,hasLeach_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,flushSewer_rur,flushSeptic_rur,flushPit_rur,flushOpen_rur,flushUnknown_rur,pitSlab_rur,pitNoSlab_rur,bucketLatrine_rur,hangingToilet_rur,openDefecation_rur,containerBased_rur,compostingToilet_rur,other_rur,coverBury_rur,sewageTreated_rur,fecalSludgeTreated_rur,isWatertight_rur,hasLeach_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur
BGR,0.960,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.010,0.478,0.010,0.010,0.010,0.100,3,0,0,0,0.576,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.424,0.089,0.478,0.087,0.087,0.087,0.100,3,0,0,0
BHS,0.712,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.288,0.000,0.070,0.000,0.000,0.000,0.100,3,0,0,0,0.459,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.541,0.000,0.070,0.000,0.000,0.000,0.100,3,0,0,0
BIH,0.833,0.153,0.000,0.005,0.000,0.006,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.039,0.193,0.039,0.039,0.039,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.193,0.000,0.000,0.000,0.100,3,0,0,0
BLR,0.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.041,0.717,0.051,0.051,0.051,0.100,3,0,0,0,0.836,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.164,0.271,0.717,0.000,0.000,0.000,0.100,3,0,0,0
BLZ,0.000,0.000,0.000,0.000,0.000,0.940,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.000,0.053,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.711,0.000,0.000,0.000,0.000,0.000,0.000,0.289,0.000,0.053,0.000,0.000,0.000,0.100,3,0,0,0
BOL,0.689,0.153,0.020,0.001,0.001,0.104,0.021,0.000,0.000,0.010,0.000,0.002,0.000,0.000,0.084,0.000,0.000,0.000,0.100,3,0,0,0,0.087,0.066,0.025,0.000,0.000,0.272,0.213,0.000,0.000,0.305,0.000,0.032,0.000,0.000,0.084,0.000,0.000,0.000,0.100,3,0,0,0
BRA,0.750,0.000,0.000,0.014,0.000,0.220,0.010,0.000,0.000,0.001,0.000,0.000,0.005,0.049,0.223,0.027,0.027,0.027,0.100,3,0,0,0,0.094,0.000,0.000,0.028,0.000,0.711,0.032,0.000,0.000,0.049,0.000,0.000,0.088,0.000,0.223,0.000,0.000,0.000,0.100,3,0,0,0
BRN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.000,0.100,3,0,0,0
BTN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.244,0.024,0.000,0.000,0.000,0.100,3,0,0,0,0.012,0.334,0.000,0.041,0.000,0.233,0.334,0.000,0.000,0.000,0.000,0.000,0.046,0.552,0.024,0.000,0.000,0.000,0.100,3,0,0,0
CAF,0.004,0.007,0.009,0.003,0.000,0.300,0.510,0.000,0.031,0.061,0.000,0.073,0.001,0.234,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.002,0.000,0.000,0.052,0.443,0.000,0.044,0.391,0.000,0.066,0.002,0.057,0.018,0.000,0.000,0.000,0.100,3,0,0,0
CAN,0.919,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.690,0.080,0.080,0.080,0.100,3,0,0,0,0.648,0.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.690,0.278,0.278,0.278,0.100,3,0,0,0
CHE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.980,0.008,0.008,0.008,0.100,3,0,0,0
CHL,0.971,0.017,0.003,0.000,0.000,0.006,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.004,0.581,0.004,0.004,0.004,0.100,3,0,0,0,0.085,0.277,0.077,0.001,0.000,0.051,0.000,0.000,0.000,0.009,0.000,0.000,0.001,0.000,0.581,0.000,0.000,0.000,0.100,3,0,0,0
CHN,0.000,0.000,0.000,0.000,0.032,0.101,0.000,0.000,0.000,0.005,0.000,0.000,0.003,0.027,0.300,0.051,0.051,0.051,0.100,3,0,0,0,0.018,0.120,0.092,0.000,0.000,0.611,0.115,0.014,0.007,0.002,0.000,0.019,0.002,0.071,0.300,0.000,0.000,0.000,0.100,3,0,0,0
CIV,0.127,0.279,0.028,0.008,0.007,0.450,0.077,0.002,0.001,0.018,0.000,0.001,0.001,0.169,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.262,0.000,0.000,0.738,0.138,0.018,0.000,0.000,0.000,0.100,3,0,0,0
CMR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.000,0.000,0.944,0.000,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.938,0.000,0.018,0.000,0.000,0.000,0.100,3,0,0,0
COL,0.923,0.051,0.001,0.018,0.000,0.001,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.020,0.108,0.003,0.003,0.003,0.100,3,0,0,0,0.136,0.617,0.032,0.050,0.000,0.018,0.000,0.000,0.000,0.142,0.000,0.000,0.000,0.000,0.108,0.000,0.000,0.000,0.100,3,0,0,0
CPV,0.212,0.226,0.013,0.000,0.000,0.001,0.000,0.000,0.000,0.075,0.000,0.000,0.472,0.000,0.173,0.000,0.000,0.000,0.100,3,0,0,0,0.015,0.344,0.013,0.001,0.000,0.000,0.000,0.000,0.000,0.210,0.000,0.000,0.417,0.000,0.173,0.000,0.000,0.000,0.100,3,0,0,0
CRI,0.313,0.660,0.018,0.000,0.000,0.006,0.000,0.000,0.000,0.002,0.000,0.000,0.001,0.184,0.083,0.000,0.000,0.000,0.100,3,0,0,0,0.051,0.897,0.019,0.000,0.000,0.028,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.347,0.083,0.000,0.000,0.000,0.100,3,0,0,0
CUB,0.000,0.000,0.000,0.000,0.000,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.137,0.154,0.044,0.044,0.044,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.990,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.484,0.154,0.000,0.000,0.000,0.100,3,0,0,0
CYP,0.730,0.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.086,0.540,0.086,0.086,0.086,0.100,3,0,0,0,0.169,0.829,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.540,0.000,0.000,0.000,0.100,3,0,0,0
