region;flushSewer;flushSeptic;flushPit;flushOpen;flushUnknown;pitSlab;pitNoSlab;bucketLatrine;hangingToilet;openDefecation;containerBased;compostingToilet;other;coverBury;sewageTreated;fecalSludgeTreated;isWatertight;hasLeach;onsiteDumpedLand;emptyFrequency;pitAdditive;urine;twinPits;warning
CRI;0.051;0.897;0.019;0.0;0.0;0.028;0.0;0.0;0.0;0.005;;0.0;0.0;0.3466942187997595;0.009313370552035816;0.0;0.0;0.0;0.1;3;0;0;0;
CUB;0.0;0.0;0.0;0.0;0.0;0.99;0.0;0.0;0.0;0.0;;0.0;0.01;0.4836742424714499;0.07584922264170513;0.0;0.0;0.0;0.1;3;0;0;0;
CYP;0.169;0.829;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.002;;0.115278571428571;;;;0.1;3;0;0;0;
CZE;0.991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.009;;;;;;0.1;3;0;0;0;
DJI;0.0;0.0;0.0;0.0;0.0;0.306;0.0;0.0;0.0;0.694;;0.0;0.003;0.2092939168742994;0.0;0.0;0.0;0.0;0.1;3;0;0;0;
DNK;0.999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.001;;;;;;0.1;3;0;0;0;
DOM;0.029;0.614;0.0;0.001;0.006;0.262;0.034;0.0;0.0;0.054;;0.0;0.0;0.45922429796262243;0.01664340627548503;0.0;0.0;0.0;0.1;3;0;0;0;
DZA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.1217204499475546;0.41331642811222474;0.0249426030271484;0.0249426030271484;0.0249426030271484;0.1;3;0;0;0;
ECU;0.234;0.55;0.098;0.0;0.0;0.0;0.0;0.0;0.0;0.083;;0.0;0.035;0.5386634531078034;0.07139607896273517;0.0;0.0;0.0;0.1;3;0;0;0;
EGY;0.519;0.1635;0.0;0.0055;0.252;0.0;0.0;0.0;0.0;0.0045000000000000005;;0.0;0.055;0.121410643207756;0.4151889364498386;0.09394165714985453;0.09394165714985453;0.09394165714985453;0.1;3;0;0;0;
