region;flushSewer;flushSeptic;flushPit;flushOpen;flushUnknown;pitSlab;pitNoSlab;bucketLatrine;hangingToilet;openDefecation;containerBased;compostingToilet;other;coverBury;sewageTreated;fecalSludgeTreated;isWatertight;hasLeach;onsiteDumpedland;emptyFrequency;pitAdditive;urine;twinPits;warning
KGZ;0.179;0.012;0.088;0.0;0.0;0.72;0.001;0.0;0.0;0.0;;0.0;0.0;0.7765628506845537;0.14979813683134;0.0;0.0;0.0;0.1;3;0;0;0;
KHM;0.149;0.726;0.0;0.015;0.0;0.005;0.001;0.0;0.004;0.1;;0.0;0.0;0.2961470124662362;0.07118188832441709;0.0;0.0;0.0;0.1;3;0;0;0;
KIR;0.037;0.373;0.105;0.014;0.01;0.004;0.011;0.036;0.0;0.404;;0.006;0.0;0.22992858347945191;0.01799451674137931;0.0;0.0;0.0;0.1;3;0;0;0;
KOR;0.941;0.032;0.0;0.0;0.0;0.023;0.0;0.0;0.0;0.0;;0.0;0.005;0.0;0.9944746016069063;0.0;0.0;0.0;0.1;3;0;0;0;
KWT;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;3;0;0;0;
LAO;0.01;0.107;0.61;0.014;0.008;0.004;0.003;0.0;0.0;0.239;;0.0;0.005;0.6057867844946414;0.0054876853403212624;0.0;0.0;0.0;0.1;3;0;0;0;
LBN;0.723;0.256;0.0;0.019;0.0;0.0;0.0;0.0;0.0;0.002;;0.0;0.0;0.07321580091038034;0.16776960405253638;0.01574139719573177;0.01574139719573177;0.01574139719573177;0.1;3;0;0;0;
LBR;0.0045;0.1385;0.0395;0.0055;0.001;0.053;0.0575;0.002;0.0215;0.27749999999999997;;0.002;0.3975;;;;;;0.1;3;0;0;0;
LBY;0.0;0.0;0.0;0.0;0.0;0.986;0.0;0.0;0.0;0.014;;0.0;0.0;0.1197627421867118;0.09993537610941117;0.01860727845124829;0.01860727845124829;0.01860727845124829;0.1;3;0;0;0;
LCA;0.052;0.715;0.003;0.0;0.002;0.206;0.001;0.003;0.0;0.018;;0.0;0.0;;;;;;0.1;3;0;0;0;
LIE;0.987;0.012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.001;0.00025;0.9558377982211305;0.006125;0.006125;0.006125;0.1;3;0;0;0;
LKA;0.0;0.0;0.0;0.0;0.0;0.932;0.0;0.0;0.0;0.002;;0.0;0.066;;;;;;0.1;3;0;0;0;
LSO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.129;;0.0;0.871;0.47170346202102437;0.0034589978291276707;0.0;0.0;0.0;0.1;3;0;0;0;
LTU;0.901;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.099;0.017456018729725128;0.9181553259831269;0.017456018729725128;0.017456018729725128;0.017456018729725128;0.1;3;0;0;0;
LUX;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0038353115929312394;0.9503420950581861;0.0038052798280305126;0.0038052798280305126;0.0038052798280305126;0.1;3;0;0;0;
LVA;0.8495;0.0995;0.0155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.035;;;;;;0.1;3;0;0;0;
MAC;0.929;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007;;0.0;0.064;0.0;0.6812210975427252;0.0;0.0;0.0;0.1;3;0;0;0;
MAF;0.595;0.4;0.003;0.0;0.0;0.002;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
MAR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;;0.0;0.999;0.09008657298252239;0.2114222523469467;0.07771608206487875;0.07771608206487875;0.07771608206487875;0.1;3;0;0;0;
MCO;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;3;0;0;0;
MDA;0.328;0.438;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.234;;0.3100325343474969;;;;0.1;3;0;0;0;
MDG;0.008;0.048;0.005;0.001;0.001;0.262;0.333;0.002;0.002;0.337;;0.0;0.001;0.12075218698277929;0.0025228958712377753;0.0;0.0;0.0;0.1;3;0;0;0;
MDV;0.33;0.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;Does not add up to 100%
MEX;0.803;0.171;0.0;0.009;0.0;0.009;0.0;0.0;0.0;0.006;;0.0;0.002;0.04527792271287974;0.5495009108452714;0.032564493918113786;0.032564493918113786;0.032564493918113786;0.1;3;0;0;0;
MHL;0.577;0.271;0.007;0.007;0.006;0.001;0.002;0.041;0.0;0.087;;0.001;0.0;;;;;;0.1;3;0;0;0;
MLI;0.012;0.028;0.02;0.001;0.001;0.456;0.362;0.0;0.024;0.089;;0.007;0.0;0.15325352986061738;0.005942896898672967;0.0;0.0;0.0;0.1;3;0;0;0;
MLT;0.989;0.0;0.011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.8739879894451654;0.007775633705670597;0.007775633705670597;0.007775633705670597;0.1;3;0;0;0;
