gid,alpha3,totalPopulation,fractionUrban
AFG.1_1,AFG,1904129,0.798
AFG.2_1,AFG,1038169,0.842
AFG.3_1,AFG,1455220,0.872
AFG.4_1,AFG,1989114,0.864
AFG.5_1,AFG,670071,0.857
AFG.6_1,AFG,741317,0.887
AFG.7_1,AFG,926024,0.686
AFG.8_1,AFG,1761858,0.938
AFG.9_1,AFG,1112858,0.605
AFG.10_1,AFG,1233966,0.897
AFG.11_1,AFG,1441886,0.788
AFG.12_1,AFG,3886720,0.9
AFG.13_1,AFG,731579,0.783
AFG.14_1,AFG,7148487,0.986
AFG.15_1,AFG,2060614,0.83
AFG.16_1,AFG,680481,0.959
AFG.17_1,AFG,1342256,0.853
AFG.18_1,AFG,782846,0.794
AFG.19_1,AFG,1182224,0.869
AFG.20_1,AFG,804636,0.899
AFG.21_1,AFG,618820,0.862
AFG.22_1,AFG,2613567,0.908
AFG.23_1,AFG,225675,0.556
AFG.24_1,AFG,250030,0.547
AFG.25_1,AFG,670927,0.635
AFG.26_1,AFG,987445,0.837
AFG.27_1,AFG,200178,0.923
AFG.28_1,AFG,955138,0.902
AFG.29_1,AFG,594111,0.765
AFG.30_1,AFG,809701,0.823
AFG.31_1,AFG,1723518,0.865
AFG.32_1,AFG,593711,0.764
AFG.33_1,AFG,917585,0.9
AFG.34_1,AFG,452624,0.563
AGO.1_1,AGO,447067,0.467
AGO.2_1,AGO,2438844,0.671
AGO.3_1,AGO,1813910,0.668
AGO.4_1,AGO,1721103,0.902
AGO.5_1,AGO,440242,0.673
AGO.6_1,AGO,339618,0.664
AGO.7_1,AGO,2184539,0.525
AGO.8_1,AGO,1811381,0.405
AGO.9_1,AGO,1952428,0.536
AGO.10_1,AGO,4863988,0.52
AGO.11_1,AGO,12348055,0.995
AGO.12_1,AGO,1146052,0.768
AGO.13_1,AGO,610639,0.837
AGO.14_1,AGO,1716347,0.734
AGO.15_1,AGO,2097628,0.825
AGO.16_1,AGO,904905,0.728
AGO.17_1,AGO,785835,0.614
AGO.18_1,AGO,1211984,0.839
AIA.1_1,AIA,777,0.0
AIA.15_1,AIA,46,0.0
AIA.2_1,AIA,631,0.0
AIA.3_1,AIA,2137,0.781
AIA.4_1,AIA,927,0.0
AIA.5_1,AIA,217,0.764
AIA.6_1,AIA,1304,0.274
AIA.16_1,AIA,15,0.0
AIA.7_1,AIA,169,0.788
AIA.8_1,AIA,1000,0.0
AIA.17_1,AIA,256,0.0
AIA.18_1,AIA,0,0.0
AIA.9_1,AIA,1715,0.474
AIA.10_1,AIA,1072,0.037
AIA.11_1,AIA,829,0.0
AIA.12_1,AIA,1115,0.689
AIA.13_1,AIA,1777,0.928
AIA.14_1,AIA,1458,0.0
ALA.1_2,ALA,2061,0.0
ALA.2_2,ALA,17692,0.054
ALA.3_2,ALA,12947,0.981
ALB.1_1,ALB,94977,0.456
ALB.2_1,ALB,90721,0.26
ALB.3_1,ALB,285397,0.828
ALB.4_1,ALB,225150,0.549
ALB.5_1,ALB,234886,0.411
ALB.6_1,ALB,47079,0.423
ALB.7_1,ALB,174595,0.539
ALB.8_1,ALB,61127,0.279
ALB.9_1,ALB,118562,0.489
ALB.10_1,ALB,177527,0.562
ALB.11_1,ALB,1138328,0.947
ALB.12_1,ALB,170238,0.637
AND.1_1,AND,20127,0.986
AND.2_1,AND,11072,0.0
AND.3_1,AND,12818,0.861
AND.4_1,AND,10941,0.977
AND.5_1,AND,11145,0.586
AND.6_1,AND,6407,0.63
AND.7_1,AND,8029,0.728
ARE.1_1,ARE,3190831,0.817
ARE.2_1,ARE,452112,0.97
ARE.3_1,ARE,3158876,0.959
ARE.4_1,ARE,262299,0.766
ARE.5_1,ARE,472745,0.83
ARE.6_1,ARE,1948319,0.947
ARE.7_1,ARE,94213,0.753
ARG.1_1,ARG,17771623,0.937
ARG.2_1,ARG,437916,0.693
ARG.3_1,ARG,1202901,0.816
ARG.4_1,ARG,714989,0.847
ARG.5_1,ARG,2767554,1.0
ARG.6_1,ARG,3688917,0.79
ARG.7_1,ARG,1132862,0.788
ARG.8_1,ARG,1368048,0.733
ARG.9_1,ARG,607543,0.736
ARG.10_1,ARG,798202,0.833
ARG.11_1,ARG,371975,0.671
ARG.12_1,ARG,439868,0.772
ARG.13_1,ARG,2135653,0.828
ARG.14_1,ARG,1409527,0.768
ARG.15_1,ARG,711270,0.823
ARG.16_1,ARG,796948,0.81
ARG.17_1,ARG,1467873,0.819
ARG.18_1,ARG,777730,0.785
ARG.19_1,ARG,556100,0.785
ARG.20_1,ARG,459783,0.884
ARG.21_1,ARG,3757060,0.82
ARG.22_1,ARG,1031194,0.635
ARG.23_1,ARG,169379,0.93
ARG.24_1,ARG,1737850,0.83
ARM.1_1,ARM,137287,0.315
ARM.2_1,ARM,266449,0.808
ARM.3_1,ARM,299453,0.712
ARM.4_1,ARM,989926,0.994
ARM.5_1,ARM,218431,0.692
ARM.6_1,ARM,211006,0.803
ARM.7_1,ARM,185608,0.568
ARM.8_1,ARM,211801,0.613
ARM.9_1,ARM,109716,0.595
ARM.10_1,ARM,105712,0.444
ARM.11_1,ARM,43667,0.228
ASM.1_1,ASM,15839,0.557
ASM.2_1,ASM,915,0.0
ASM.3_1,ASM,6,0.0
ASM.4_1,ASM,25601,0.867
ATF.1_1,ATF,0,0.0
ATF.2_1,ATF,0,0.0
ATF.3_1,ATF,0,0.0
ATF.4_1,ATF,0,0.0
ATG.1_1,ATG,1899,0.0
ATG.2_1,ATG,0,0.0
ATG.3_1,ATG,9241,0.854
ATG.4_1,ATG,61291,0.942
ATG.5_1,ATG,7271,0.0
ATG.6_1,ATG,7691,0.719
ATG.7_1,ATG,4584,0.405
ATG.8_1,ATG,2873,0.0
AUS.1_1,AUS,0,0.0
AUS.2_1,AUS,410527,0.975
AUS.3_1,AUS,0,0.0
AUS.4_1,AUS,249,0.0
AUS.5_1,AUS,8419958,0.845
AUS.6_1,AUS,264062,0.587
AUS.7_1,AUS,5506221,0.792
AUS.8_1,AUS,1834178,0.799
AUS.9_1,AUS,556179,0.55
AUS.10_1,AUS,7096736,0.867
AUS.11_1,AUS,2824740,0.831
AUT.1_1,AUT,293172,0.215
AUT.2_1,AUT,559540,0.38
AUT.3_1,AUT,1686385,0.427
AUT.4_1,AUT,1467336,0.482
AUT.5_1,AUT,558196,0.554
AUT.6_1,AUT,1249797,0.476
AUT.7_1,AUT,778743,0.56
AUT.8_1,AUT,393436,0.772
AUT.9_1,AUT,2008387,0.997
AZE.1_1,AZE,3126605,0.965
AZE.2_1,AZE,2061908,0.681
AZE.3_1,AZE,334235,0.576
AZE.4_1,AZE,1337042,0.821
AZE.5_1,AZE,270115,0.506
AZE.6_1,AZE,974706,0.779
AZE.7_1,AZE,491057,0.797
AZE.8_1,AZE,559994,0.6
AZE.9_1,AZE,637899,0.626
AZE.10_1,AZE,661938,0.818
BDI.1_1,BDI,525645,0.898
BDI.2_1,BDI,1284278,0.999
BDI.3_1,BDI,732773,0.893
BDI.4_1,BDI,1092375,0.836
BDI.5_1,BDI,444575,0.605
BDI.6_1,BDI,743210,0.884
BDI.7_1,BDI,1100671,0.894
BDI.8_1,BDI,647855,0.859
BDI.9_1,BDI,1071962,0.983
BDI.10_1,BDI,1099195,0.952
BDI.11_1,BDI,710354,0.73
BDI.12_1,BDI,446249,0.964
BDI.13_1,BDI,1219700,0.937
BDI.14_1,BDI,438882,0.921
BDI.15_1,BDI,939238,0.929
BDI.16_1,BDI,681676,0.782
BDI.17_1,BDI,769278,0.738
BEL.1_1,BEL,1286087,1.0
BEL.2_1,BEL,6710599,0.816
BEL.3_1,BEL,3748005,0.665
BEN.1_1,BEN,1354799,0.436
BEN.2_1,BEN,1113816,0.429
BEN.3_1,BEN,2295011,0.89
BEN.4_1,BEN,1943573,0.515
BEN.5_1,BEN,890130,0.649
BEN.6_1,BEN,790215,0.578
BEN.7_1,BEN,962727,0.851
BEN.8_1,BEN,978433,1.0
BEN.9_1,BEN,627810,0.8
BEN.10_1,BEN,1500121,0.963
BEN.11_1,BEN,848956,0.812
BEN.12_1,BEN,1118668,0.78
BES.1_1,BES,20046,0.852
BES.2_1,BES,2020,0.0
BES.3_1,BES,5281,0.0
BFA.1_1,BFA,2055454,0.367
BFA.2_1,BFA,1224477,0.432
BFA.7_1,BFA,4067610,0.959
BFA.3_1,BFA,1832811,0.539
BFA.4_1,BFA,1873504,0.36
BFA.5_1,BFA,1813333,0.387
BFA.6_1,BFA,895601,0.388
BFA.8_1,BFA,2244973,0.377
BFA.9_1,BFA,3095714,0.653
BFA.10_1,BFA,1697692,0.358
BFA.11_1,BFA,976429,0.301
BFA.12_1,BFA,1636567,0.292
BFA.13_1,BFA,953642,0.275
BGD.1_1,BGD,8362175,0.959
BGD.2_1,BGD,34058061,0.975
BGD.3_1,BGD,51347053,0.994
BGD.4_1,BGD,16602175,0.972
BGD.8_1,BGD,13453500,0.987
BGD.5_1,BGD,21215323,0.981
BGD.6_1,BGD,18191515,0.982
BGD.7_1,BGD,12877094,0.975
BGR.1_1,BGR,291486,0.461
BGR.2_1,BGR,390850,0.615
BGR.3_1,BGR,155145,0.389
BGR.4_1,BGR,96087,0.431
BGR.5_1,BGR,1379617,0.954
BGR.6_1,BGR,203430,0.474
BGR.7_1,BGR,134506,0.273
BGR.8_1,BGR,105443,0.459
BGR.9_1,BGR,107367,0.34
BGR.10_1,BGR,108974,0.415
BGR.11_1,BGR,227423,0.427
BGR.12_1,BGR,110842,0.576
BGR.13_1,BGR,207632,0.468
BGR.14_1,BGR,665324,0.677
BGR.15_1,BGR,93446,0.281
BGR.16_1,BGR,189571,0.589
BGR.17_1,BGR,148217,0.318
BGR.18_1,BGR,94487,0.398
BGR.19_1,BGR,167086,0.466
BGR.20_1,BGR,97888,0.207
BGR.21_1,BGR,210222,0.254
BGR.22_1,BGR,280161,0.517
BGR.23_1,BGR,98361,0.397
BGR.24_1,BGR,479929,0.767
BGR.25_1,BGR,210030,0.41
BGR.26_1,BGR,69635,0.313
BGR.27_1,BGR,127744,0.375
BGR.28_1,BGR,101413,0.592
BHR.1_1,BHR,855447,1.0
BHR.3_1,BHR,253443,1.0
BHR.4_1,BHR,173608,0.983
BHR.5_1,BHR,159838,0.828
BHS.1_1,BHS,637,0.0
BHS.2_1,BHS,747,0.0
BHS.3_1,BHS,1609,0.0
BHS.4_1,BHS,2646,0.0
BHS.5_1,BHS,1025,0.0
BHS.6_1,BHS,11572,0.579
BHS.7_1,BHS,349,0.0
BHS.8_1,BHS,1591,0.0
BHS.9_1,BHS,11263,0.877
BHS.10_1,BHS,235,0.0
BHS.11_1,BHS,1018,0.0
BHS.12_1,BHS,10591,0.0
BHS.13_1,BHS,122,0.0
