alpha3,scenario,year,fractionUrban
BEL,SSP2,2050,0.994
BEL,SSP2,2100,0.999
BEN,SSP2,2025,0.508
BEN,SSP2,2030,0.533
BEN,SSP2,2050,0.619
BEN,SSP2,2100,0.765
BTN,SSP2,2025,0.434
BTN,SSP2,2030,0.462
BTN,SSP2,2050,0.567
BTN,SSP2,2100,0.753
BOL,SSP2,2025,0.713
BOL,SSP2,2030,0.727
BOL,SSP2,2050,0.768
BOL,SSP2,2100,0.829
BIH,SSP2,2025,0.514
BIH,SSP2,2030,0.533
BIH,SSP2,2050,0.602
BIH,SSP2,2100,0.735
BWA,SSP2,2025,0.695
BWA,SSP2,2030,0.716
BWA,SSP2,2050,0.78
BWA,SSP2,2100,0.862
BRA,SSP2,2025,0.872
BRA,SSP2,2030,0.882
BRA,SSP2,2050,0.914
BRA,SSP2,2100,0.973
VGB,SSP2,2025,0.522
VGB,SSP2,2030,0.545
VGB,SSP2,2050,0.624
VGB,SSP2,2100,0.76
BRN,SSP2,2025,0.78
BRN,SSP2,2030,0.788
BRN,SSP2,2050,0.816
BRN,SSP2,2100,0.868
BGR,SSP2,2025,0.761
BGR,SSP2,2030,0.77
BGR,SSP2,2050,0.802
BGR,SSP2,2100,0.85
BFA,SSP2,2025,0.321
BFA,SSP2,2030,0.346
BFA,SSP2,2050,0.444
BFA,SSP2,2100,0.653
BDI,SSP2,2025,0.152
BDI,SSP2,2030,0.169
BDI,SSP2,2050,0.246
BDI,SSP2,2100,0.453
CPV,SSP2,2025,0.686
CPV,SSP2,2030,0.704
CPV,SSP2,2050,0.762
CPV,SSP2,2100,0.836
KHM,SSP2,2025,0.251
KHM,SSP2,2030,0.268
KHM,SSP2,2050,0.337
KHM,SSP2,2100,0.512
CMR,SSP2,2025,0.588
CMR,SSP2,2030,0.61
CMR,SSP2,2050,0.688
CMR,SSP2,2100,0.797
CAN,SSP2,2025,0.826
CAN,SSP2,2030,0.831
CAN,SSP2,2050,0.847
CAN,SSP2,2100,0.922
CAF,SSP2,2025,0.441
CAF,SSP2,2030,0.459
CAF,SSP2,2050,0.529
CAF,SSP2,2100,0.687
TCD,SSP2,2025,0.271
TCD,SSP2,2030,0.289
TCD,SSP2,2050,0.357
TCD,SSP2,2100,0.531
CHL,SSP2,2025,0.896
CHL,SSP2,2030,0.903
CHL,SSP2,2050,0.933
CHL,SSP2,2100,0.981
CHN,SSP2,2025,0.569
CHN,SSP2,2030,0.591
CHN,SSP2,2050,0.675
CHN,SSP2,2100,0.794
COL,SSP2,2025,0.807
COL,SSP2,2030,0.814
COL,SSP2,2050,0.836
COL,SSP2,2100,0.901
COM,SSP2,2025,0.331
COM,SSP2,2030,0.348
COM,SSP2,2050,0.421
COM,SSP2,2100,0.591
COG,SSP2,2025,0.686
COG,SSP2,2030,0.702
COG,SSP2,2050,0.752
COG,SSP2,2100,0.82
COK,SSP2,2025,0.767
COK,SSP2,2030,0.776
COK,SSP2,2050,0.807
COK,SSP2,2100,0.853
CRI,SSP2,2025,0.76
CRI,SSP2,2030,0.771
CRI,SSP2,2050,0.805
CRI,SSP2,2100,0.853
HRV,SSP2,2025,0.602
HRV,SSP2,2030,0.618
HRV,SSP2,2050,0.678
HRV,SSP2,2100,0.778
CUB,SSP2,2025,0.787
CUB,SSP2,2030,0.794
CUB,SSP2,2050,0.818
CUB,SSP2,2100,0.869
CUW,SSP2,2025,0.922
CUW,SSP2,2030,0.93
CUW,SSP2,2050,0.956
CUW,SSP2,2100,0.99
CYP,SSP2,2025,0.722
CYP,SSP2,2030,0.734
CYP,SSP2,2050,0.772
CYP,SSP2,2100,0.831
CZE,SSP2,2025,0.76
CZE,SSP2,2030,0.768
CZE,SSP2,2050,0.795
CZE,SSP2,2100,0.846
CIV,SSP2,2025,0.539
CIV,SSP2,2030,0.557
CIV,SSP2,2050,0.624
CIV,SSP2,2100,0.75
COD,SSP2,2025,0.452
COD,SSP2,2030,0.47
COD,SSP2,2050,0.538
COD,SSP2,2100,0.692
DNK,SSP2,2025,0.893
DNK,SSP2,2030,0.9
DNK,SSP2,2050,0.93
DNK,SSP2,2100,0.981
DJI,SSP2,2025,0.795
DJI,SSP2,2030,0.801
DJI,SSP2,2050,0.824
DJI,SSP2,2100,0.879
DMA,SSP2,2025,0.727
DMA,SSP2,2030,0.738
DMA,SSP2,2050,0.778
DMA,SSP2,2100,0.837
DOM,SSP2,2025,0.777
DOM,SSP2,2030,0.787
DOM,SSP2,2050,0.82
DOM,SSP2,2100,0.878
ECU,SSP2,2025,0.677
ECU,SSP2,2030,0.691
ECU,SSP2,2050,0.738
ECU,SSP2,2100,0.811
EGY,SSP2,2025,0.482
EGY,SSP2,2030,0.499
EGY,SSP2,2050,0.565
EGY,SSP2,2100,0.714
SLV,SSP2,2025,0.705
SLV,SSP2,2030,0.719
SLV,SSP2,2050,0.763
SLV,SSP2,2100,0.826
GNQ,SSP2,2025,0.718
GNQ,SSP2,2030,0.735
GNQ,SSP2,2050,0.783
GNQ,SSP2,2100,0.846
ERI,SSP2,2025,0.427
ERI,SSP2,2030,0.45
ERI,SSP2,2050,0.544
ERI,SSP2,2100,0.716
EST,SSP2,2025,0.718
EST,SSP2,2030,0.729
EST,SSP2,2050,0.765
EST,SSP2,2100,0.826
SWZ,SSP2,2025,0.291
SWZ,SSP2,2030,0.313
SWZ,SSP2,2050,0.399
SWZ,SSP2,2100,0.589
ETH,SSP2,2025,0.221
ETH,SSP2,2030,0.238
ETH,SSP2,2050,0.306
ETH,SSP2,2100,0.483
FLK,SSP2,2025,0.767
FLK,SSP2,2030,0.775
FLK,SSP2,2050,0.801
FLK,SSP2,2100,0.849
FRO,SSP2,2025,0.461
FRO,SSP2,2030,0.478
FRO,SSP2,2050,0.546
FRO,SSP2,2100,0.701
FJI,SSP2,2025,0.575
FJI,SSP2,2030,0.591
FJI,SSP2,2050,0.655
FJI,SSP2,2100,0.766
FIN,SSP2,2025,0.859
FIN,SSP2,2030,0.868
FIN,SSP2,2050,0.899
FIN,SSP2,2100,0.965
FRA,SSP2,2025,0.803
FRA,SSP2,2030,0.808
FRA,SSP2,2050,0.829
FRA,SSP2,2100,0.887
GUF,SSP2,2025,0.847
GUF,SSP2,2030,0.851
GUF,SSP2,2050,0.885
GUF,SSP2,2100,0.956
PYF,SSP2,2025,0.652
PYF,SSP2,2030,0.665
PYF,SSP2,2050,0.717
PYF,SSP2,2100,0.798
GAB,SSP2,2025,0.899
GAB,SSP2,2030,0.911
GAB,SSP2,2050,0.943
GAB,SSP2,2100,0.985
GMB,SSP2,2025,0.63
GMB,SSP2,2030,0.653
GMB,SSP2,2050,0.726
GMB,SSP2,2100,0.817
GEO,SSP2,2025,0.604
GEO,SSP2,2030,0.62
GEO,SSP2,2050,0.681
GEO,SSP2,2100,0.779
DEU,SSP2,2025,0.79
DEU,SSP2,2030,0.796
DEU,SSP2,2050,0.819
DEU,SSP2,2100,0.877
GHA,SSP2,2025,0.57
GHA,SSP2,2030,0.588
GHA,SSP2,2050,0.656
GHA,SSP2,2100,0.768
GRC,SSP2,2025,0.785
GRC,SSP2,2030,0.791
GRC,SSP2,2050,0.815
GRC,SSP2,2100,0.868
GRL,SSP2,2025,0.863
GRL,SSP2,2030,0.874
GRL,SSP2,2050,0.905
GRL,SSP2,2100,0.967
GRD,SSP2,2025,0.413
GRD,SSP2,2030,0.43
GRD,SSP2,2050,0.498
GRD,SSP2,2100,0.66
GLP,SSP2,2025,0.993
GLP,SSP2,2030,0.994
GLP,SSP2,2050,0.997
GLP,SSP2,2100,1.0
GUM,SSP2,2025,0.959
GUM,SSP2,2030,0.963
GUM,SSP2,2050,0.978
GUM,SSP2,2100,0.996
GTM,SSP2,2025,0.534
GTM,SSP2,2030,0.551
GTM,SSP2,2050,0.615
GTM,SSP2,2100,0.743
GIN,SSP2,2025,0.401
GIN,SSP2,2030,0.422
GIN,SSP2,2050,0.499
GIN,SSP2,2100,0.666
GNB,SSP2,2025,0.472
GNB,SSP2,2030,0.496
GNB,SSP2,2050,0.577
GNB,SSP2,2100,0.725
HTI,SSP2,2025,0.549
HTI,SSP2,2030,0.571
HTI,SSP2,2050,0.653
HTI,SSP2,2100,0.779
HND,SSP2,2025,0.578
HND,SSP2,2030,0.597
HND,SSP2,2050,0.661
HND,SSP2,2100,0.77
HUN,SSP2,2025,0.725
HUN,SSP2,2030,0.734
HUN,SSP2,2050,0.77
HUN,SSP2,2100,0.829
ISL,SSP2,2025,0.954
ISL,SSP2,2030,0.959
ISL,SSP2,2050,0.975
ISL,SSP2,2100,0.996
IND,SSP2,2025,0.361
IND,SSP2,2030,0.38
IND,SSP2,2050,0.449
IND,SSP2,2100,0.615
IDN,SSP2,2025,0.573
IDN,SSP2,2030,0.596
IDN,SSP2,2050,0.677
IDN,SSP2,2100,0.793
IRN,SSP2,2025,0.751
IRN,SSP2,2030,0.762
IRN,SSP2,2050,0.798
IRN,SSP2,2100,0.849
IRQ,SSP2,2025,0.727
IRQ,SSP2,2030,0.736
IRQ,SSP2,2050,0.771
IRQ,SSP2,2100,0.829
IRL,SSP2,2025,0.661
IRL,SSP2,2030,0.675
IRL,SSP2,2050,0.725
IRL,SSP2,2100,0.803
ISR,SSP2,2025,0.942
ISR,SSP2,2030,0.948
ISR,SSP2,2050,0.967
ISR,SSP2,2100,0.994
ITA,SSP2,2025,0.721
ITA,SSP2,2030,0.731
ITA,SSP2,2050,0.767
ITA,SSP2,2100,0.827
JAM,SSP2,2025,0.587
JAM,SSP2,2030,0.602
JAM,SSP2,2050,0.665
JAM,SSP2,2100,0.771
JPN,SSP2,2025,0.933
JPN,SSP2,2030,0.94
JPN,SSP2,2050,0.962
JPN,SSP2,2100,0.992
JOR,SSP2,2025,0.895
JOR,SSP2,2030,0.903
JOR,SSP2,2050,0.935
JOR,SSP2,2100,0.982
KAZ,SSP2,2025,0.616
KAZ,SSP2,2030,0.633
KAZ,SSP2,2050,0.689
KAZ,SSP2,2100,0.784
KEN,SSP2,2025,0.291
KEN,SSP2,2030,0.308
KEN,SSP2,2050,0.383
KEN,SSP2,2100,0.561
KIR,SSP2,2025,0.545
KIR,SSP2,2030,0.565
KIR,SSP2,2050,0.64
KIR,SSP2,2100,0.76
KGZ,SSP2,2025,0.407
KGZ,SSP2,2030,0.425
KGZ,SSP2,2050,0.495
KGZ,SSP2,2100,0.659
LAO,SSP2,2025,0.373
LAO,SSP2,2030,0.396
LAO,SSP2,2050,0.488
LAO,SSP2,2100,0.672
LVA,SSP2,2025,0.717
LVA,SSP2,2030,0.727
LVA,SSP2,2050,0.763
LVA,SSP2,2100,0.824
LBN,SSP2,2025,0.904
LBN,SSP2,2030,0.911
LBN,SSP2,2050,0.943
LBN,SSP2,2100,0.985
LSO,SSP2,2025,0.324
LSO,SSP2,2030,0.349
LSO,SSP2,2050,0.449
LSO,SSP2,2100,0.66
LBR,SSP2,2025,0.539
LBR,SSP2,2030,0.556
LBR,SSP2,2050,0.623
LBR,SSP2,2100,0.75
LBY,SSP2,2025,0.81
LBY,SSP2,2030,0.818
LBY,SSP2,2050,0.843
LBY,SSP2,2100,0.914
LTU,SSP2,2025,0.708
LTU,SSP2,2030,0.719
LTU,SSP2,2050,0.758
LTU,SSP2,2100,0.822
LUX,SSP2,2025,0.907
LUX,SSP2,2030,0.914
LUX,SSP2,2050,0.945
LUX,SSP2,2100,0.986
MDG,SSP2,2025,0.382
MDG,SSP2,2030,0.403
MDG,SSP2,2050,0.483
MDG,SSP2,2100,0.655
MWI,SSP2,2025,0.201
MWI,SSP2,2030,0.218
MWI,SSP2,2050,0.287
MWI,SSP2,2100,0.464
MYS,SSP2,2025,0.755
MYS,SSP2,2030,0.768
MYS,SSP2,2050,0.806
MYS,SSP2,2100,0.861
MDV,SSP2,2025,0.434
MDV,SSP2,2030,0.455
MDV,SSP2,2050,0.537
MDV,SSP2,2100,0.697
MLI,SSP2,2025,0.431
MLI,SSP2,2030,0.453
MLI,SSP2,2050,0.54
MLI,SSP2,2100,0.699
MLT,SSP2,2025,0.958
MLT,SSP2,2030,0.962
MLT,SSP2,2050,0.978
MLT,SSP2,2100,0.996
MHL,SSP2,2025,0.772
MHL,SSP2,2030,0.782
MHL,SSP2,2050,0.811
MHL,SSP2,2100,0.86
MTQ,SSP2,2025,0.918
MTQ,SSP2,2030,0.925
MTQ,SSP2,2050,0.953
MTQ,SSP2,2100,0.989
MRT,SSP2,2025,0.548
MRT,SSP2,2030,0.572
MRT,SSP2,2050,0.663
MRT,SSP2,2100,0.791
MUS,SSP2,2025,0.466
MUS,SSP2,2030,0.483
MUS,SSP2,2050,0.549
MUS,SSP2,2100,0.701
MYT,SSP2,2025,0.561
MYT,SSP2,2030,0.582
MYT,SSP2,2050,0.658
MYT,SSP2,2100,0.779
MEX,SSP2,2025,0.802
MEX,SSP2,2030,0.809
MEX,SSP2,2050,0.829
MEX,SSP2,2100,0.893
MDA,SSP2,2025,0.478
MDA,SSP2,2030,0.496
MDA,SSP2,2050,0.563
MDA,SSP2,2100,0.713
MNG,SSP2,2025,0.724
MNG,SSP2,2030,0.737
MNG,SSP2,2050,0.779
MNG,SSP2,2100,0.838
MNE,SSP2,2025,0.703
MNE,SSP2,2030,0.72
MNE,SSP2,2050,0.772
MNE,SSP2,2100,0.837
MAR,SSP2,2025,0.636
MAR,SSP2,2030,0.652
MAR,SSP2,2050,0.705
MAR,SSP2,2100,0.792
MOZ,SSP2,2025,0.393
MOZ,SSP2,2030,0.418
MOZ,SSP2,2050,0.512
MOZ,SSP2,2100,0.691
MMR,SSP2,2025,0.34
MMR,SSP2,2030,0.358
MMR,SSP2,2050,0.429
MMR,SSP2,2100,0.596
NAM,SSP2,2025,0.478
NAM,SSP2,2030,0.497
NAM,SSP2,2050,0.571
NAM,SSP2,2100,0.718
NPL,SSP2,2025,0.23
NPL,SSP2,2030,0.252
NPL,SSP2,2050,0.344
NPL,SSP2,2100,0.556
NLD,SSP2,2025,0.9
NLD,SSP2,2030,0.908
NLD,SSP2,2050,0.94
NLD,SSP2,2100,0.984
NCL,SSP2,2025,0.718
NCL,SSP2,2030,0.731
NCL,SSP2,2050,0.77
NCL,SSP2,2100,0.83
NZL,SSP2,2025,0.887
NZL,SSP2,2030,0.895
NZL,SSP2,2050,0.925
NZL,SSP2,2100,0.978
NIC,SSP2,2025,0.617
NIC,SSP2,2030,0.633
NIC,SSP2,2050,0.689
NIC,SSP2,2100,0.784
NER,SSP2,2025,0.205
NER,SSP2,2030,0.221
NER,SSP2,2050,0.288
NER,SSP2,2100,0.464
NGA,SSP2,2025,0.508
NGA,SSP2,2030,0.532
NGA,SSP2,2050,0.612
NGA,SSP2,2100,0.754
NIU,SSP2,2025,0.44
NIU,SSP2,2030,0.457
NIU,SSP2,2050,0.527
NIU,SSP2,2100,0.685
MKD,SSP2,2025,0.619
MKD,SSP2,2030,0.636
MKD,SSP2,2050,0.692
MKD,SSP2,2100,0.785
MNP,SSP2,2025,0.934
MNP,SSP2,2030,0.941
MNP,SSP2,2050,0.962
MNP,SSP2,2100,0.992
NOR,SSP2,2025,0.812
NOR,SSP2,2030,0.818
NOR,SSP2,2050,0.837
NOR,SSP2,2100,0.901
OMN,SSP2,2025,0.792
OMN,SSP2,2030,0.803
OMN,SSP2,2050,0.837
OMN,SSP2,2100,0.912
PAK,SSP2,2025,0.404
PAK,SSP2,2030,0.423
PAK,SSP2,2050,0.492
PAK,SSP2,2100,0.656
PLW,SSP2,2025,0.773
PLW,SSP2,2030,0.78
PLW,SSP2,2050,0.805
PLW,SSP2,2100,0.852
PSE,SSP2,2025,0.774
PSE,SSP2,2030,0.782
PSE,SSP2,2050,0.811
PSE,SSP2,2100,0.86
PAN,SSP2,2025,0.692
PAN,SSP2,2030,0.705
PAN,SSP2,2050,0.746
PAN,SSP2,2100,0.816
PNG,SSP2,2025,0.168
PNG,SSP2,2030,0.182
PNG,SSP2,2050,0.244
PNG,SSP2,2100,0.42
PRY,SSP2,2025,0.642
PRY,SSP2,2030,0.656
PRY,SSP2,2050,0.711
PRY,SSP2,2100,0.794
PER,SSP2,2025,0.791
PER,SSP2,2030,0.799
PER,SSP2,2050,0.822
PER,SSP2,2100,0.878
PHL,SSP2,2025,0.507
PHL,SSP2,2030,0.524
PHL,SSP2,2050,0.59
PHL,SSP2,2100,0.731
POL,SSP2,2025,0.656
POL,SSP2,2030,0.671
POL,SSP2,2050,0.723
POL,SSP2,2100,0.8
PRT,SSP2,2025,0.656
PRT,SSP2,2030,0.671
PRT,SSP2,2050,0.723
PRT,SSP2,2100,0.8
PRI,SSP2,2025,0.958
PRI,SSP2,2030,0.963
PRI,SSP2,2050,0.978
PRI,SSP2,2100,0.996
QAT,SSP2,2025,0.991
QAT,SSP2,2030,0.993
QAT,SSP2,2050,0.996
QAT,SSP2,2100,0.999
ROU,SSP2,2025,0.587
ROU,SSP2,2030,0.603
ROU,SSP2,2050,0.665
ROU,SSP2,2100,0.772
RUS,SSP2,2025,0.765
RUS,SSP2,2030,0.772
RUS,SSP2,2050,0.798
RUS,SSP2,2100,0.848
RWA,SSP2,2025,0.235
RWA,SSP2,2030,0.258
RWA,SSP2,2050,0.356
RWA,SSP2,2100,0.586
REU,SSP2,2025,0.993
REU,SSP2,2030,0.995
REU,SSP2,2050,0.997
REU,SSP2,2100,1.0
KNA,SSP2,2025,0.366
KNA,SSP2,2030,0.384
KNA,SSP2,2050,0.456
KNA,SSP2,2100,0.624
SPM,SSP2,2025,0.922
SPM,SSP2,2030,0.93
SPM,SSP2,2050,0.956
SPM,SSP2,2100,0.99
VCT,SSP2,2025,0.545
VCT,SSP2,2030,0.561
VCT,SSP2,2050,0.626
VCT,SSP2,2100,0.751
WSM,SSP2,2025,0.248
WSM,SSP2,2030,0.265
WSM,SSP2,2050,0.334
WSM,SSP2,2100,0.512
SMR,SSP2,2025,0.971
SMR,SSP2,2030,0.975
SMR,SSP2,2050,0.987
SMR,SSP2,2100,0.998
STP,SSP2,2025,0.711
STP,SSP2,2030,0.727
STP,SSP2,2050,0.777
STP,SSP2,2100,0.842
SAU,SSP2,2025,0.845
SAU,SSP2,2030,0.851
SAU,SSP2,2050,0.889
SAU,SSP2,2100,0.958
SEN,SSP2,2025,0.491
SEN,SSP2,2030,0.508
SEN,SSP2,2050,0.575
SEN,SSP2,2100,0.721
SRB,SSP2,2025,0.601
SRB,SSP2,2030,0.617
SRB,SSP2,2050,0.676
SRB,SSP2,2100,0.778
SYC,SSP2,2025,0.582
SYC,SSP2,2030,0.598
SYC,SSP2,2050,0.659
SYC,SSP2,2100,0.77
SLE,SSP2,2025,0.444
SLE,SSP2,2030,0.461
SLE,SSP2,2050,0.532
SLE,SSP2,2100,0.688
SVK,SSP2,2025,0.596
SVK,SSP2,2030,0.612
SVK,SSP2,2050,0.674
SVK,SSP2,2100,0.777
SVN,SSP2,2025,0.578
SVN,SSP2,2030,0.594
SVN,SSP2,2050,0.657
SVN,SSP2,2100,0.768
SLB,SSP2,2025,0.257
SLB,SSP2,2030,0.276
SLB,SSP2,2050,0.35
SLB,SSP2,2100,0.543
SOM,SSP2,2025,0.452
SOM,SSP2,2030,0.47
SOM,SSP2,2050,0.541
SOM,SSP2,2100,0.697
ZAF,SSP2,2025,0.668
ZAF,SSP2,2030,0.683
ZAF,SSP2,2050,0.731
ZAF,SSP2,2100,0.806
KOR,SSP2,2025,0.844
KOR,SSP2,2030,0.851
KOR,SSP2,2050,0.892
KOR,SSP2,2100,0.961
SSD,SSP2,2025,0.225
SSD,SSP2,2030,0.24
SSD,SSP2,2050,0.309
SSD,SSP2,2100,0.484
ESP,SSP2,2025,0.806
ESP,SSP2,2030,0.812
ESP,SSP2,2050,0.833
ESP,SSP2,2100,0.894
LKA,SSP2,2025,0.229
LKA,SSP2,2030,0.245
LKA,SSP2,2050,0.313
LKA,SSP2,2100,0.491
SDN,SSP2,2025,0.394
SDN,SSP2,2030,0.415
SDN,SSP2,2050,0.492
SDN,SSP2,2100,0.661
SUR,SSP2,2025,0.704
SUR,SSP2,2030,0.716
SUR,SSP2,2050,0.755
SUR,SSP2,2100,0.82
SWE,SSP2,2025,0.877
SWE,SSP2,2030,0.885
SWE,SSP2,2050,0.914
SWE,SSP2,2100,0.973
CHE,SSP2,2025,0.763
CHE,SSP2,2030,0.771
CHE,SSP2,2050,0.797
CHE,SSP2,2100,0.847
SYR,SSP2,2025,0.605
SYR,SSP2,2030,0.621
SYR,SSP2,2050,0.681
SYR,SSP2,2100,0.78
TWN,SSP2,2025,0.784
TWN,SSP2,2030,0.793
TWN,SSP2,2050,0.824
TWN,SSP2,2100,0.885
TZA,SSP2,2025,0.356
TZA,SSP2,2030,0.381
TZA,SSP2,2050,0.477
TZA,SSP2,2100,0.671
THA,SSP2,2025,0.502
THA,SSP2,2030,0.521
THA,SSP2,2050,0.592
THA,SSP2,2100,0.731
TLS,SSP2,2025,0.329
TLS,SSP2,2030,0.347
TLS,SSP2,2050,0.422
TLS,SSP2,2100,0.592
TGO,SSP2,2025,0.447
TGO,SSP2,2030,0.47
TGO,SSP2,2050,0.555
TGO,SSP2,2100,0.712
TON,SSP2,2025,0.285
TON,SSP2,2030,0.302
TON,SSP2,2050,0.372
TON,SSP2,2100,0.545
TTO,SSP2,2025,0.59
TTO,SSP2,2030,0.606
TTO,SSP2,2050,0.669
TTO,SSP2,2100,0.775
TUN,SSP2,2025,0.714
TUN,SSP2,2030,0.728
TUN,SSP2,2050,0.768
TUN,SSP2,2100,0.828
TUR,SSP2,2025,0.752
TUR,SSP2,2030,0.765
TUR,SSP2,2050,0.8
TUR,SSP2,2100,0.85
TKM,SSP2,2025,0.535
TKM,SSP2,2030,0.551
TKM,SSP2,2050,0.616
TKM,SSP2,2100,0.744
TCA,SSP2,2025,0.929
TCA,SSP2,2030,0.937
TCA,SSP2,2050,0.96
TCA,SSP2,2100,0.991
TUV,SSP2,2025,0.619
TUV,SSP2,2030,0.641
TUV,SSP2,2050,0.714
TUV,SSP2,2100,0.81
UGA,SSP2,2025,0.259
UGA,SSP2,2030,0.282
UGA,SSP2,2050,0.371
UGA,SSP2,2100,0.572
UKR,SSP2,2025,0.723
UKR,SSP2,2030,0.732
UKR,SSP2,2050,0.768
UKR,SSP2,2100,0.827
ARE,SSP2,2025,0.852
ARE,SSP2,2030,0.861
ARE,SSP2,2050,0.894
ARE,SSP2,2100,0.962
GBR,SSP2,2025,0.828
GBR,SSP2,2030,0.833
GBR,SSP2,2050,0.849
GBR,SSP2,2100,0.924
USA,SSP2,2025,0.824
USA,SSP2,2030,0.829
USA,SSP2,2050,0.846
USA,SSP2,2100,0.917
VIR,SSP2,2025,0.962
VIR,SSP2,2030,0.966
VIR,SSP2,2050,0.981
VIR,SSP2,2100,0.997
URY,SSP2,2025,0.96
URY,SSP2,2030,0.964
URY,SSP2,2050,0.979
URY,SSP2,2100,0.996
UZB,SSP2,2025,0.56
UZB,SSP2,2030,0.576
UZB,SSP2,2050,0.641
UZB,SSP2,2100,0.759
VUT,SSP2,2025,0.296
VUT,SSP2,2030,0.313
VUT,SSP2,2050,0.385
VUT,SSP2,2100,0.559
VEN,SSP2,2025,0.906
VEN,SSP2,2030,0.913
VEN,SSP2,2050,0.945
VEN,SSP2,2100,0.986
VNM,SSP2,2025,0.356
VNM,SSP2,2030,0.375
VNM,SSP2,2050,0.446
VNM,SSP2,2100,0.613
ESH,SSP2,2025,0.898
ESH,SSP2,2030,0.907
ESH,SSP2,2050,0.939
ESH,SSP2,2100,0.984
YEM,SSP2,2025,0.387
YEM,SSP2,2030,0.409
YEM,SSP2,2050,0.495
YEM,SSP2,2100,0.666
ZMB,SSP2,2025,0.445
ZMB,SSP2,2030,0.463
ZMB,SSP2,2050,0.531
ZMB,SSP2,2100,0.688
ZWE,SSP2,2025,0.389
ZWE,SSP2,2030,0.407
ZWE,SSP2,2050,0.478
ZWE,SSP2,2100,0.645
AFG,SSP3,2025,0.289
AFG,SSP3,2030,0.306
AFG,SSP3,2050,0.378
AFG,SSP3,2100,0.549
ALB,SSP3,2025,0.522
ALB,SSP3,2030,0.522
ALB,SSP3,2050,0.522
ALB,SSP3,2100,0.522
DZA,SSP3,2025,0.727
DZA,SSP3,2030,0.741
DZA,SSP3,2050,0.783
DZA,SSP3,2100,0.841
ASM,SSP3,2025,0.876
ASM,SSP3,2030,0.876
ASM,SSP3,2050,0.876
ASM,SSP3,2100,0.876
AND,SSP3,2025,0.888
AND,SSP3,2030,0.888
AND,SSP3,2050,0.888
AND,SSP3,2100,0.888
AGO,SSP3,2025,0.671
AGO,SSP3,2030,0.692
AGO,SSP3,2050,0.755
AGO,SSP3,2100,0.835
ARG,SSP3,2025,0.932
ARG,SSP3,2030,0.939
ARG,SSP3,2050,0.962
ARG,SSP3,2100,0.992
ARM,SSP3,2025,0.634
ARM,SSP3,2030,0.634
ARM,SSP3,2050,0.634
ARM,SSP3,2100,0.634
AUS,SSP3,2025,0.878
AUS,SSP3,2030,0.886
AUS,SSP3,2050,0.916
AUS,SSP3,2100,0.974
AZE,SSP3,2025,0.534
AZE,SSP3,2030,0.534
AZE,SSP3,2050,0.534
AZE,SSP3,2100,0.534
BHS,SSP3,2025,0.824
BHS,SSP3,2030,0.824
BHS,SSP3,2050,0.824
BHS,SSP3,2100,0.824
BHR,SSP3,2025,0.886
BHR,SSP3,2030,0.886
BHR,SSP3,2050,0.886
BHR,SSP3,2100,0.886
BGD,SSP3,2025,0.382
BGD,SSP3,2030,0.407
BGD,SSP3,2050,0.505
BGD,SSP3,2100,0.696
BLR,SSP3,2025,0.747
BLR,SSP3,2030,0.747
BLR,SSP3,2050,0.747
BLR,SSP3,2100,0.747
BEL,SSP3,2025,0.986
BEL,SSP3,2030,0.988
BEL,SSP3,2050,0.994
BEL,SSP3,2100,0.999
BEN,SSP3,2025,0.508
BEN,SSP3,2030,0.533
BEN,SSP3,2050,0.619
BEN,SSP3,2100,0.765
BTN,SSP3,2025,0.348
BTN,SSP3,2030,0.348
BTN,SSP3,2050,0.348
BTN,SSP3,2100,0.348
BOL,SSP3,2025,0.713
BOL,SSP3,2030,0.727
BOL,SSP3,2050,0.768
BOL,SSP3,2100,0.829
BIH,SSP3,2025,0.456
BIH,SSP3,2030,0.456
BIH,SSP3,2050,0.456
BIH,SSP3,2100,0.456
BWA,SSP3,2025,0.624
BWA,SSP3,2030,0.624
BWA,SSP3,2050,0.624
BWA,SSP3,2100,0.624
BRA,SSP3,2025,0.872
BRA,SSP3,2030,0.882
BRA,SSP3,2050,0.914
BRA,SSP3,2100,0.973
VGB,SSP3,2025,0.448
VGB,SSP3,2030,0.448
VGB,SSP3,2050,0.448
VGB,SSP3,2100,0.448
BRN,SSP3,2025,0.75
BRN,SSP3,2030,0.75
BRN,SSP3,2050,0.75
BRN,SSP3,2100,0.75
BGR,SSP3,2025,0.723
BGR,SSP3,2030,0.723
BGR,SSP3,2050,0.723
BGR,SSP3,2100,0.723
BFA,SSP3,2025,0.321
BFA,SSP3,2030,0.346
BFA,SSP3,2050,0.444
BFA,SSP3,2100,0.653
BDI,SSP3,2025,0.152
BDI,SSP3,2030,0.169
BDI,SSP3,2050,0.246
BDI,SSP3,2100,0.453
CPV,SSP3,2025,0.618
CPV,SSP3,2030,0.618
CPV,SSP3,2050,0.618
CPV,SSP3,2100,0.618
KHM,SSP3,2025,0.251
KHM,SSP3,2030,0.268
KHM,SSP3,2050,0.337
KHM,SSP3,2100,0.512
CMR,SSP3,2025,0.588
CMR,SSP3,2030,0.61
CMR,SSP3,2050,0.688
CMR,SSP3,2100,0.797
CAN,SSP3,2025,0.826
CAN,SSP3,2030,0.831
CAN,SSP3,2050,0.847
CAN,SSP3,2100,0.922
CAF,SSP3,2025,0.389
