gid,alpha3,totalPopulation,fractionUrban
SLE,SLE,9161798,0.593
SLV,SLV,6423097,0.768
SMR,SMR,32704,0.816
SOM,SOM,19323579,0.833
SPM,SPM,5601,0.0
SRB,SRB,7101488,0.66
SSD,SSD,11412531,0.703
STP,STP,240187,0.845
SUR,SUR,634567,0.728
SVK,SVK,5634954,0.545
SVN,SVN,2087427,0.506
SWE,SWE,10698735,0.695
SWZ,SWZ,1236696,0.232
SXM,SXM,44365,0.978
SYC,SYC,106187,0.786
SYR,SYR,25434956,0.816
TCA,TCA,46402,0.83
TCD,TCD,19418852,0.516
TGO,TGO,9433351,0.72
THA,THA,71926959,0.623
TJK,TJK,10524572,0.838
TKL,TKL,1854,0.0
TKM,TKM,6667140,0.754
TLS,TLS,1398479,0.52
TON,TON,109088,0.616
TTO,TTO,1539251,0.875
TUN,TUN,12637814,0.722
TUR,TUR,86606761,0.824
TUV,TUV,11489,0.779
TWN,TWN,23951248,0.945
TZA,TZA,71362563,0.58
UGA,UGA,51285553,0.764
UKR,UKR,38757874,0.722
UMI,UMI,0,0.0
URY,URY,3425391,0.863
USA,USA,343508937,0.742
UZB,UZB,36281904,0.862
VAT,VAT,870,1.0
VCT,VCT,103355,0.688
VEN,VEN,29888582,0.885
VGB,VGB,31650,0.627
VIR,VIR,97008,0.751
VNM,VNM,100024690,0.874
VUT,VUT,347032,0.31
WLF,WLF,11301,0.0
WSM,WSM,230672,0.591
XAD,XAD,23925,0.388
XCA,XCA,284820,0.91
XCL,XCL,0,0.0
XKO,XKO,1638642,0.709
XPI,XPI,396,0.0
XSP,XSP,0,0.0
YEM,YEM,35949322,0.858
ZAF,ZAF,61665126,0.793
ZMB,ZMB,21747364,0.544
ZNC,ZNC,340270,0.697
ZWE,ZWE,17369422,0.327
