gid,alpha3,totalPopulation,fractionUrban
ABW,ABW,105937,0.959
AFG,AFG,44507485,0.863
AGO,AGO,38834565,0.757
AIA,AIA,15444,0.362
ALA,ALA,32700,0.418
ALB,ALB,2818586,0.709
AND,AND,80539,0.72
ARE,ARE,9579395,0.896
ARG,ARG,46312767,0.861
ARM,ARM,2779058,0.768
ASM,ASM,42361,0.732
ATA,ATA,0,0.0
ATF,ATF,0,0.0
ATG,ATG,94849,0.769
AUS,AUS,26912851,0.829
AUT,AUT,8994992,0.595
AZE,AZE,10455500,0.792
BDI,BDI,13947916,0.886
BEL,BEL,11744691,0.788
BEN,BEN,14424258,0.725
BES,BES,27347,0.624
BFA,BFA,24367806,0.509
BGD,BGD,176106895,0.982
BGR,BGR,6552313,0.596
BHR,BHR,1442336,0.979
BHS,BHS,414272,0.831
BIH,BIH,3177864,0.512
BLM,BLM,10892,0.87
BLR,BLR,9414901,0.742
BLZ,BLZ,418614,0.569
BMU,BMU,63294,0.984
BOL,BOL,12793676,0.723
BRA,BRA,218739302,0.796
BRB,BRB,281850,0.864
BRN,BRN,457721,0.835
BTN,BTN,831037,0.303
BVT,BVT,0,0.0
BWA,BWA,2763874,0.703
CAF,CAF,6097057,0.585
CAN,CAN,39043724,0.765
CCK,CCK,453,0.0
CHE,CHE,8859316,0.771
CHL,CHL,19467290,0.818
CHN,CHN,1431289554,0.838
Z02,CHN,144,0.0
Z03,CHN,4304,0.0
Z08,CHN,133,0.0
CIV,CIV,30320105,0.668
CMR,CMR,30155652,0.752
COD,COD,109090113,0.746
COG,COG,6383657,0.885
COK,COK,16977,0.0
COL,COL,52508220,0.821
COM,COM,882432,0.879
CPV,CPV,608285,0.757
CRI,CRI,5279257,0.745
CUB,CUB,11141956,0.821
CUW,CUW,193632,0.943
CXR,CXR,3575,0.0
CYM,CYM,69959,0.933
CYP,CYP,911129,0.773
CZE,CZE,10515029,0.607
DEU,DEU,83255528,0.73
DJI,DJI,1165102,0.895
DMA,DMA,72835,0.441
DNK,DNK,5952478,0.652
DOM,DOM,11524964,0.864
DZA,DZA,46894881,0.807
ECU,ECU,18557427,0.779
EGY,EGY,116244113,0.973
ERI,ERI,3854636,0.648
ESH,ESH,608095,0.911
ESP,ESP,47341919,0.788
EST,EST,1311471,0.661
ETH,ETH,132767777,0.687
FIN,FIN,5462224,0.607
FJI,FJI,943399,0.552
FLK,FLK,3776,0.0
FRA,FRA,64988005,0.618
FRO,FRO,50604,0.348
FSM,FSM,112920,0.283
GAB,GAB,2520643,0.833
GBR,GBR,68152053,0.862
GEO,GEO,3707135,0.644
GGY,GGY,63864,0.91
GHA,GHA,35558922,0.77
GIB,GIB,32017,1.0
GIN,GIN,14871964,0.557
GLP,GLP,395975,0.733
GMB,GMB,2905667,0.777
GNB,GNB,2197503,0.548
GNQ,GNQ,1791167,0.903
GRC,GRC,10247068,0.668
GRD,GRD,126713,0.754
GRL,GRL,48172,0.475
GTM,GTM,18624343,0.742
GUF,GUF,326839,0.737
GUM,GUM,175080,0.853
GUY,GUY,822786,0.732
HMD,HMD,0,0.0
HND,HND,10914406,0.604
HRV,HRV,3958570,0.549
HTI,HTI,11989974,0.845
HUN,HUN,9870844,0.626
IDN,IDN,281088880,0.862
IMN,IMN,84917,0.678
IND,IND,1437817519,0.845
Z01,IND,15710958,0.885
Z04,IND,63,0.0
Z05,IND,7,0.0
Z07,IND,1106077,0.396
Z09,IND,259,0.0
IOT,IOT,0,0.0
IRL,IRL,4970438,0.539
IRN,IRN,90372144,0.849
IRQ,IRQ,47544764,0.883
ISL,ISL,362511,0.764
ISR,ISR,9443237,0.937
ITA,ITA,58511052,0.767
JAM,JAM,2819234,0.713
JEY,JEY,113390,0.937
JOR,JOR,11441575,0.938
JPN,JPN,121563084,0.908
KAZ,KAZ,20061462,0.774
KEN,KEN,57561810,0.777
KGZ,KGZ,6812832,0.758
KHM,KHM,17295708,0.686
KIR,KIR,135120,0.653
KNA,KNA,47804,0.418
KOR,KOR,51593488,0.901
KWT,KWT,4379100,0.962
LAO,LAO,7842667,0.315
LBN,LBN,5084076,0.871
LBR,LBR,5652633,0.605
LBY,LBY,7034485,0.744
LCA,LCA,181062,0.729
LIE,LIE,39869,0.862
LKA,LKA,21954147,0.843
LSO,LSO,2383413,0.39
LTU,LTU,2667804,0.571
LUX,LUX,666675,0.704
LVA,LVA,1790188,0.556
MAF,MAF,32377,0.923
MAR,MAR,38549270,0.788
MCO,MCO,36014,1.0
MDA,MDA,3259573,0.545
MDG,MDG,31775511,0.458
MDV,MDV,486113,0.574
MEX,MEX,130261363,0.777
MHL,MHL,40743,0.604
MKD,MKD,2081262,0.729
MLI,MLI,24757814,0.486
MLT,MLT,534990,0.952
MMR,MMR,55289647,0.706
MNE,MNE,623071,0.817
MNG,MNG,3537810,0.716
MNP,MNP,50100,0.685
MOZ,MOZ,35832366,0.522
MRT,MRT,5112307,0.618
MSR,MSR,4332,0.0
MTQ,MTQ,364234,0.743
MUS,MUS,1300950,0.92
MWI,MWI,22022347,0.699
MYS,MYS,34985863,0.828
MYT,MYT,355586,0.945
NAM,NAM,2697866,0.428
NCL,NCL,298222,0.67
NER,NER,29320442,0.533
NFK,NFK,1992,0.0
NGA,NGA,234462913,0.815
NIC,NIC,7228925,0.641
NIU,NIU,1935,0.0
NLD,NLD,17711577,0.84
NOR,NOR,5422327,0.655
NPL,NPL,31579375,0.767
NRU,NRU,12619,0.937
NZL,NZL,5293348,0.767
OMN,OMN,4821431,0.782
PAK,PAK,244871269,0.899
Z06,PAK,5054784,0.788
PAN,PAN,4567543,0.698
PCN,PCN,69,0.0
PER,PER,34803738,0.737
PHL,PHL,119998492,0.86
PLW,PLW,17768,0.356
PNG,PNG,10651708,0.499
POL,POL,39586151,0.606
PRI,PRI,3273902,0.809
PRK,PRK,26270241,0.866
PRT,PRT,10193536,0.708
PRY,PRY,7030479,0.59
PSE,PSE,5622306,0.947
PYF,PYF,307055,0.687
QAT,QAT,2752982,0.926
REU,REU,995841,0.893
ROU,ROU,19424431,0.549
RUS,RUS,143228370,0.784
RWA,RWA,14697330,0.942
SAU,SAU,35977171,0.839
SDN,SDN,50614485,0.749
SEN,SEN,18714906,0.701
SGP,SGP,6084476,1.0
SGS,SGS,0,0.0
SHN,SHN,5194,0.0
SJM,SJM,2853,0.0
SLB,SLB,758780,0.233
