gid,alpha3,totalPopulation,fractionUrban
AGO.1.1.1_1,AGO,15615,0.908
AGO.1.1.2_1,AGO,1098,0.0
AGO.1.1.3_1,AGO,1614,0.0
AGO.1.2.1_1,AGO,75392,0.565
AGO.1.2.2_1,AGO,87706,0.771
AGO.1.2.3_1,AGO,5699,0.0
AGO.1.2.4_1,AGO,5262,0.0
AGO.1.2.5_1,AGO,10345,0.0
AGO.1.3.1_1,AGO,65991,0.686
AGO.1.3.2_1,AGO,10627,0.0
AGO.1.3.3_1,AGO,24619,0.46
AGO.1.3.4_1,AGO,43136,0.313
AGO.1.4.1_1,AGO,3447,0.0
AGO.1.4.2_1,AGO,6663,0.029
AGO.1.4.3_1,AGO,5897,0.0
AGO.1.4.4_1,AGO,32244,0.439
AGO.1.5.1_1,AGO,6409,0.0
AGO.1.5.2_1,AGO,6046,0.0
AGO.1.5.3_1,AGO,5814,0.0
AGO.1.5.4_1,AGO,6427,0.0
AGO.1.5.5_1,AGO,7990,0.0
AGO.1.5.6_1,AGO,8128,0.0
AGO.1.5.7_1,AGO,10897,0.0
AGO.2.1.1_1,AGO,82459,0.64
AGO.2.1.2_1,AGO,32844,0.723
AGO.2.1.3_1,AGO,682,0.0
AGO.2.1.4_1,AGO,1061,0.0
AGO.2.2.1_1,AGO,79536,0.634
AGO.2.2.2_1,AGO,16682,0.0
AGO.2.2.3_1,AGO,18083,0.0
AGO.2.3.1_1,AGO,620809,0.973
AGO.2.4.1_1,AGO,85029,0.539
AGO.2.4.2_1,AGO,41337,0.0
AGO.2.4.3_1,AGO,19817,0.0
AGO.2.4.4_1,AGO,45794,0.252
AGO.2.4.5_1,AGO,15902,0.0
AGO.2.5.1_1,AGO,4625,0.0
AGO.2.5.2_1,AGO,49047,0.604
AGO.2.5.3_1,AGO,19368,0.0
AGO.2.5.4_1,AGO,10086,0.0
AGO.2.5.5_1,AGO,14605,0.0
AGO.2.6.1_1,AGO,8510,0.0
AGO.2.6.2_1,AGO,85304,0.402
