scenario,year,alpha3,cattle,cattle_i,cattle_fgi,cattle_fge,cattle_foi,cattle_foe,cattle_e,buffaloes,buffaloes_i,buffaloes_fgi,buffaloes_fge,buffaloes_foi,buffaloes_foe,buffaloes_e,pigs,pigs_i,pigs_fgi,pigs_fge,pigs_foi,pigs_foe,pigs_e,poultry,poultry_i,poultry_fgi,poultry_fge,poultry_foi,poultry_foe,poultry_e,sheep,sheep_i,sheep_fgi,sheep_fge,sheep_foi,sheep_foe,sheep_e,goats,goats_i,goats_fgi,goats_fge,goats_foi,goats_foe,goats_e,horses,horses_i,horses_fgi,horses_fge,horses_foi,horses_foe,horses_e,asses,asses_i,asses_fgi,asses_fge,asses_foi,asses_foe,asses_e,mules,mules_i,mules_fgi,mules_fge,mules_foi,mules_foe,mules_e,camels,camels_i,camels_fgi,camels_fge,camels_foi,camels_foe,camels_e
SSP4,2050,WSM,57527,0.364,0.75,1.0,0.0,0.0,0.636,0,0.12,0.6,1.0,0.0,0.0,0.88,232560,1.0,0.0,1.0,0.55,0.55,0.0,1120225,1.0,0.0,1.0,0.0,0.0,0.0,0,0.364,0.8,0.9,0.0,0.0,0.636,0,0.364,0.8,0.9,0.0,0.0,0.636,1902,0.18,0.8,0.9,0.0,0.0,0.82,7000,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82
SSP4,2050,YEM,2968946,0.736,0.35,0.95,0.18,0.18,0.264,0,0.96,0.15,0.95,0.18,0.18,0.04,0,1.0,0.0,1.0,0.0,0.0,0.0,85302480,1.0,0.0,1.0,0.0,0.0,0.0,21771180,0.98,0.5,0.9,0.0,0.0,0.02,20898616,0.98,0.5,0.9,0.0,0.0,0.02,2083,0.92,0.5,0.9,0.0,0.0,0.08,718494,0.92,0.5,0.9,0.0,0.0,0.08,0,0.92,0.5,0.9,0.0,0.0,0.08,466555,0.92,0.5,0.9,0.0,0.0,0.08
SSP4,2050,ZAF,9055801,0.665,0.6,0.93,0.0,0.0,0.335,0,0.11,0.45,0.93,0.0,0.0,0.89,2429556,1.0,0.0,1.0,0.0,0.0,0.0,321964203,1.0,0.0,1.0,0.0,0.0,0.0,12265035,0.466,0.8,0.9,0.0,0.0,0.534,2945191,0.466,0.8,0.9,0.0,0.0,0.534,314689,0.01,0.8,0.9,0.0,0.0,0.99,153945,0.01,0.8,0.9,0.0,0.0,0.99,15065,0.01,0.8,0.9,0.0,0.0,0.99,0,0.01,0.8,0.9,0.0,0.0,0.99
SSP4,2050,ZMB,3691810,0.35,0.6,0.93,0.0,0.0,0.65,0,0.11,0.45,0.93,0.0,0.0,0.89,1355071,1.0,0.0,1.0,0.0,0.0,0.0,65060442,1.0,0.0,1.0,0.0,0.0,0.0,178517,0.0,0.8,0.9,0.0,0.0,1.0,3249477,0.0,0.8,0.9,0.0,0.0,1.0,0,0.01,0.8,0.9,0.0,0.0,0.99,2110,0.01,0.8,0.9,0.0,0.0,0.99,0,0.01,0.8,0.9,0.0,0.0,0.99,0,0.01,0.8,0.9,0.0,0.0,0.99
SSP4,2050,ZWE,4172663,0.35,0.6,0.93,0.0,0.0,0.65,0,0.11,0.45,0.93,0.0,0.0,0.89,254893,1.0,0.0,1.0,0.0,0.0,0.0,34779991,1.0,0.0,1.0,0.0,0.0,0.0,664476,0.0,0.8,0.9,0.0,0.0,1.0,4348363,0.0,0.8,0.9,0.0,0.0,1.0,28078,0.01,0.8,0.9,0.0,0.0,0.99,468737,0.01,0.8,0.9,0.0,0.0,0.99,1230,0.01,0.8,0.9,0.0,0.0,0.99,0,0.01,0.8,0.9,0.0,0.0,0.99
SSP4,2100,ABW,0,0.632,0.7,0.95,0.0,0.0,0.368,0,0.75,0.45,0.95,0.0,0.0,0.25,0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.72,0.9,0.95,0.0,0.0,0.28,0,0.72,0.9,0.95,0.0,0.0,0.28,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6
SSP4,2100,AFG,3703401,0.732,0.2,0.5,0.7,0.7,0.268,0,0.93,0.1,0.5,0.7,0.7,0.07,0,1.0,0.0,1.0,0.2,0.2,0.0,15275851,1.0,0.0,1.0,0.05,0.05,0.0,16775888,0.847,0.45,0.5,0.0,0.0,0.153,11036096,0.847,0.45,0.5,0.0,0.0,0.153,173000,0.6,0.45,0.5,0.0,0.0,0.4,1481000,0.6,0.45,0.5,0.0,0.0,0.4,24500,0.6,0.45,0.5,0.0,0.0,0.4,170000,0.6,0.45,0.5,0.0,0.0,0.4
SSP4,2100,AGO,4757253,0.35,0.6,0.93,0.0,0.0,0.65,0,0.11,0.45,0.93,0.0,0.0,0.89,3826856,1.0,0.0,1.0,0.0,0.0,0.0,61879293,1.0,0.0,1.0,0.0,0.0,0.0,1350701,0.0,0.8,0.9,0.0,0.0,1.0,5057813,0.0,0.8,0.9,0.0,0.0,1.0,1008,0.01,0.8,0.9,0.0,0.0,0.99,4499,0.01,0.8,0.9,0.0,0.0,0.99,0,0.01,0.8,0.9,0.0,0.0,0.99,0,0.01,0.8,0.9,0.0,0.0,0.99
SSP4,2100,AIA,0,0.632,0.7,0.95,0.0,0.0,0.368,0,0.75,0.45,0.95,0.0,0.0,0.25,0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.72,0.9,0.95,0.0,0.0,0.28,0,0.72,0.9,0.95,0.0,0.0,0.28,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6
SSP4,2100,ALB,153520,1.0,0.6,1.0,0.08,0.08,0.0,106,1.0,0.4,1.0,0.08,0.08,0.0,1391554,1.0,0.0,1.0,0.0,0.0,0.0,14606928,1.0,0.0,1.0,0.0,0.0,0.0,2253782,1.0,0.9,1.0,0.0,0.0,0.0,1178472,1.0,0.9,1.0,0.0,0.0,0.0,31000,1.0,0.9,1.0,0.0,0.0,0.0,53199,1.0,0.9,1.0,0.0,0.0,0.0,5031,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0
