name,iso,alpha3,totalPopulation,fractionUrban
Isle of Man,833,IMN,84000,0.5258808690219376
Latvia,428,LVA,1929000,0.6814182631773663
Lithuania,440,LTU,2876000,0.6767873873404081
Norway,578,NOR,5353000,0.8224811207459685
Sweden,752,SWE,9982000,0.8743108709269197
United Kingdom,826,GBR,66573000,0.8339838323667026
Albania,8,ALB,2934000,0.6031888351918286
Andorra,20,AND,76000,0.8806154405936092
Bosnia and Herzegovina,70,BIH,3503000,0.4824515334999832
Croatia,191,HRV,4164000,0.569466884589185
Gibraltar,292,GIB,34000,1.0
Greece,300,GRC,11142000,0.7905801217555554
Holy See,336,VAT,0,1.0
Italy,380,ITA,59290000,0.7043753830368332
Malta,470,MLT,432000,0.9461222109333958
Montenegro,499,MNE,629000,0.6681346240339214
Portugal,620,PRT,10291000,0.6521101143151876
San Marino,674,SMR,33000,0.9722561611586256
Serbia,688,SRB,8762000,0.5609178104564161
Slovenia,705,SVN,2081000,0.5454066286768592
Spain,724,ESP,46397000,0.8032137626867959
TFYR Macedonia,807,MKD,2085000,0.5796323447244217
Austria,40,AUT,8751000,0.5829726845387588
Belgium,56,BEL,11498000,0.9800109909806645
France,250,FRA,65233000,0.8044417242238244
Germany,276,DEU,82293000,0.7731154859614173
Liechtenstein,438,LIE,38000,0.14336259992137335
Luxembourg,442,LUX,590000,0.9098134743639478
Monaco,492,MCO,38000,1.0
Netherlands,528,NLD,17084000,0.9149009049686619
Switzerland,756,CHE,8544000,0.7379736550673839
Anguilla,660,AIA,15000,1.0
Antigua and Barbuda,28,ATG,103000,0.24599708879184864
Aruba,533,ABW,105000,0.43410617961578496
Bahamas,44,BHS,399000,0.8302490702130056
Barbados,52,BRB,286000,0.3114690559660321
British Virgin Islands,92,VGB,31000,0.47722185440902937
Caribbean Netherlands,535,BES,25000,0.7489689518325422
Cayman Islands,136,CYM,62000,1.0
Cuba,192,CUB,11489000,0.7703676412092801
Curaçao,531,CUW,161000,0.8914449457534179
Dominica,212,DMA,74000,0.7048366259352963
Dominican Republic,214,DOM,10882000,0.8107420971210502
Grenada,308,GRD,108000,0.36272256528120067
Guadeloupe,312,GLP,449000,0.9847386196409846
Haiti,332,HTI,11112000,0.5527794837462077
Jamaica,388,JAM,2898000,0.5567419205382318
Martinique,474,MTQ,385000,0.8904938127329153
Montserrat,500,MSR,5000,0.09071689409955794
Puerto Rico,630,PRI,3659000,0.9357839435672027
Saint Kitts and Nevis,659,KNA,55000,0.30775290957923007
Saint Lucia,662,LCA,179000,0.18677330839831466
Saint Vincent and the Grenadines,670,VCT,110000,0.521978221415608
Sint Maarten (Dutch part),534,SXM,40000,1.0
Trinidad and Tobago,780,TTO,1372000,0.5318418065595316
Turks and Caicos Islands,796,TCA,35000,0.9309846230848372
United States Virgin Islands,850,VIR,104000,0.9572030424919459
Belize,84,BLZ,382000,0.45724602817667426
Costa Rica,188,CRI,4953000,0.7933953390526002
El Salvador,222,SLV,6411000,0.7202316504038487
Guatemala,320,GTM,17245000,0.5105363499230459
Honduras,340,HND,9417000,0.5709574864712498
Mexico,484,MEX,130759000,0.8015619474331855
Nicaragua,558,NIC,6284000,0.5852231040913755
Panama,591,PAN,4162000,0.6770885534055731
Argentina,32,ARG,44688000,0.9187046464192958
Bolivia (Plurinational State of),68,BOL,11215000,0.6942505639875053
Brazil,76,BRA,210867000,0.8656908531487909
Chile,152,CHL,18197000,0.8756405446571505
Colombia,170,COL,49464000,0.8077765908254179
Ecuador,218,ECU,16863000,0.6382078373758594
Falkland Islands (Malvinas),238,FLK,2000,0.7765229295003423
French Guiana,254,GUF,289000,0.8530937352249943
Guyana,328,GUY,782000,0.26606539039278976
Paraguay,600,PRY,6896000,0.6158459703971693
Peru,604,PER,32551000,0.7790686940190585
Suriname,740,SUR,568000,0.6605953535186458
Uruguay,858,URY,3469000,0.9533400719574376
Venezuela (Bolivarian Republic of),862,VEN,32381000,0.882076651772952
Bermuda,60,BMU,61000,1.0
Canada,124,CAN,36953000,0.8141117961863968
Greenland,304,GRL,56000,0.8681516839034739
Saint Pierre and Miquelon,666,SPM,6000,0.9023967202775152
United States of America,840,USA,326766000,0.8225644611795077
Australia,36,AUS,24772000,0.8601173724773534
New Zealand,554,NZL,4749000,0.8653763960655195
Fiji,242,FJI,912000,0.562478555557139
New Caledonia,540,NCL,279000,0.7068340117432215
Papua New Guinea,598,PNG,8418000,0.1316871508963875
Solomon Islands,90,SLB,623000,0.23748678364975026
Vanuatu,548,VUT,282000,0.25273556715830664
Guam,316,GUM,165000,0.9477968597255579
Kiribati,296,KIR,118000,0.5405695272518451
Marshall Islands,584,MHL,53000,0.7703086501025073
Micronesia (Fed. States of),583,FSM,106000,0.22703267530853738
Nauru,520,NRU,11000,1.0
Northern Mariana Islands,580,MNP,55000,0.9161865420154364
Palau,585,PLW,21000,0.7993079584775089
American Samoa,16,ASM,55000,0.8715314571023187
Cook Islands,184,COK,17000,0.7505025558554936
French Polynesia,258,PYF,285000,0.618336312657639
Niue,570,NIU,1000,0.4476600985221674
Samoa,882,WSM,197000,0.18243253496547715
Tokelau,772,TKL,1000,0.0
Tonga,776,TON,109000,0.23131329810656098
Tuvalu,798,TUV,11000,0.6239036059183131
Wallis and Futuna Islands,876,WLF,11000,0.0
