alpha3,country,year,gdp_per_capita
TJK,Tajikistan,2024,4755.93
TKM,Turkmenistan,2024,18470.74
TLS,Timor-Leste,2024,3890.96
TON,Tonga,2024,7180.99
TTO,Trinidad and Tobago,2024,31960.16
TUN,Tunisia,2024,12774.92
TUR,Turkiye,2024,36154.49
TUV,Tuvalu,2024,5592.19
TZA,Tanzania,2024,3713.26
UGA,Uganda,2024,2879.67
UKR,Ukraine,2024,16371.44
URY,Uruguay,2024,32149.48
USA,United States,2024,75698.18
UZB,Uzbekistan,2024,10997.17
VCT,St. Vincent and the Grenadines,2024,18714.2
VNM,Viet Nam,2024,14396.42
VUT,Vanuatu,2024,3837.04
WSM,Samoa,2024,7687.23
XKX,Kosovo,2024,15716.29
ZAF,South Africa,2024,13597.65
ZMB,Zambia,2024,3708.07
ZWE,Zimbabwe,2024,5211.9
